Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.52,0.30,2.19,0.00,18:42:00.558
4.00,0.40,2.19,0.00,18:42:00.658
3.97,0.50,2.19,0.00,18:42:00.758
3.95,0.60,2.19,0.00,18:42:00.858
3.89,0.70,2.19,0.00,18:42:00.958
3.88,0.80,2.19,0.00,18:42:01.058
3.97,0.90,2.19,0.00,18:42:01.159
3.88,1.00,2.19,0.00,18:42:01.259
3.97,1.10,2.19,0.00,18:42:01.358
3.88,1.20,2.19,0.00,18:42:01.458
3.95,1.30,2.19,0.00,18:42:01.558
3.81,1.40,2.19,0.00,18:42:01.658
3.87,1.50,2.19,0.00,18:42:01.758
3.80,1.60,2.19,0.00,18:42:01.858
3.88,1.70,2.19,0.00,18:42:01.958
3.78,1.80,2.19,0.00,18:42:02.058
3.87,1.90,2.19,0.00,18:42:02.158
3.77,2.00,2.19,0.00,18:42:02.258
3.85,2.10,2.19,0.00,18:42:02.358
3.79,2.20,2.19,0.00,18:42:02.458
3.90,2.30,2.19,0.00,18:42:02.559
3.77,2.40,2.19,0.00,18:42:02.658
3.86,2.50,2.19,0.00,18:42:02.758
3.81,2.60,2.19,0.00,18:42:02.858
3.92,2.70,2.19,0.00,18:42:02.958
3.80,2.80,2.19,0.00,18:42:03.059
3.90,2.90,2.19,0.00,18:42:03.158
3.82,3.00,2.19,0.00,18:42:03.258
3.87,3.10,2.19,0.00,18:42:03.359
3.82,3.20,2.19,0.00,18:42:03.458
3.85,3.30,2.19,0.00,18:42:03.558
3.88,3.40,2.19,0.00,18:42:03.658
3.77,3.50,2.19,0.00,18:42:03.759
3.79,3.60,2.19,0.00,18:42:03.858
3.87,3.70,2.19,0.00,18:42:03.958
3.81,3.80,2.19,0.00,18:42:04.058
3.86,3.90,2.19,0.00,18:42:04.158
3.77,4.00,2.19,0.00,18:42:04.258
3.89,4.10,2.19,0.00,18:42:04.358
3.79,4.20,2.19,0.00,18:42:04.458
3.87,4.30,2.19,0.00,18:42:04.558
3.82,4.40,2.19,0.00,18:42:04.659
3.91,4.50,2.19,0.00,18:42:04.758
3.84,4.61,2.19,0.00,18:42:04.859
3.82,4.71,2.19,0.00,18:42:04.958
3.84,4.80,2.19,0.00,18:42:05.058
3.82,4.91,2.19,0.00,18:42:05.158
3.89,5.01,2.19,0.00,18:42:05.259
3.90,5.10,2.19,0.00,18:42:05.358
3.90,5.21,2.19,0.00,18:42:05.458
3.82,5.31,2.19,0.00,18:42:05.558
3.92,5.41,2.19,0.00,18:42:05.658
3.86,5.50,2.19,0.00,18:42:05.758
3.88,5.61,2.19,0.00,18:42:05.859
3.87,5.71,2.19,0.00,18:42:05.958
3.80,5.81,2.19,0.00,18:42:06.059
3.90,5.91,2.19,0.00,18:42:06.159
3.83,6.01,2.19,0.00,18:42:06.258
3.93,6.11,2.19,0.00,18:42:06.358
3.82,6.21,2.19,0.00,18:42:06.460
3.87,6.31,2.19,0.00,18:42:06.559
3.82,6.41,2.19,0.00,18:42:06.658
3.88,6.51,2.19,0.00,18:42:06.759
3.83,6.61,2.19,0.00,18:42:06.859
3.80,6.71,2.19,0.00,18:42:06.959
3.89,6.81,2.19,0.00,18:42:07.058
3.77,6.91,2.19,0.00,18:42:07.159
3.91,7.01,2.19,0.00,18:42:07.259
3.78,7.11,2.19,0.00,18:42:07.358
3.77,7.21,2.19,0.00,18:42:07.458
3.85,7.31,2.19,0.00,18:42:07.558
3.91,7.41,2.19,0.00,18:42:07.658
3.82,7.51,2.19,0.00,18:42:07.758
3.87,7.61,2.19,0.00,18:42:07.859
3.88,7.71,2.19,0.00,18:42:07.959
3.83,7.81,2.19,0.00,18:42:08.058
3.96,7.91,2.19,0.00,18:42:08.158
3.81,8.01,2.19,0.00,18:42:08.258
3.88,8.11,2.19,0.00,18:42:08.358
3.92,8.21,2.19,0.00,18:42:08.458
3.77,8.31,2.19,0.00,18:42:08.558
3.77,8.41,2.19,0.00,18:42:08.658
3.78,8.51,2.19,0.00,18:42:08.758
3.80,8.61,2.19,0.00,18:42:08.859
3.85,8.71,2.19,0.00,18:42:08.959
3.88,8.81,2.19,0.00,18:42:09.059
3.85,8.92,2.19,0.00,18:42:09.159
3.92,9.02,2.19,0.00,18:42:09.258
3.87,9.12,2.19,0.00,18:42:09.358
3.92,9.21,2.19,0.00,18:42:09.458
3.85,9.32,2.19,0.00,18:42:09.558
3.89,9.41,2.19,0.00,18:42:09.658
3.82,9.52,2.19,0.00,18:42:09.758
3.92,9.62,2.19,0.00,18:42:09.858
3.92,9.72,2.19,0.00,18:42:09.960
3.82,9.82,2.19,0.00,18:42:10.058
3.94,9.92,2.19,0.00,18:42:10.158
3.93,10.02,2.19,0.00,18:42:10.259
3.87,10.12,2.19,0.00,18:42:10.358
3.77,10.22,2.19,0.00,18:42:10.459
3.79,10.32,2.19,0.00,18:42:10.558
3.91,10.42,2.19,0.00,18:42:10.658
3.78,10.52,2.19,0.00,18:42:10.759
3.90,10.62,2.19,0.00,18:42:10.858
3.80,10.72,2.19,0.00,18:42:10.958
3.90,10.82,2.19,0.00,18:42:11.058
3.79,10.92,2.19,0.00,18:42:11.159
3.82,11.02,2.19,0.00,18:42:11.259
3.92,11.12,2.19,0.00,18:42:11.358
3.81,11.22,2.19,0.00,18:42:11.458
3.87,11.32,2.19,0.00,18:42:11.558
3.95,11.42,2.19,0.00,18:42:11.658
3.82,11.52,2.19,0.00,18:42:11.760
3.89,11.62,2.19,0.00,18:42:11.858
3.87,11.72,2.19,0.00,18:42:11.958
