Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.68,0.30,2.19,0.00,18:41:09.458
3.99,0.40,2.19,0.00,18:41:09.559
3.99,0.50,2.19,0.00,18:41:09.659
3.97,0.60,2.19,0.00,18:41:09.759
4.00,0.70,2.19,0.00,18:41:09.858
3.88,0.80,2.19,0.00,18:41:09.958
3.96,0.90,2.19,0.00,18:41:10.059
3.98,1.00,2.19,0.00,18:41:10.159
3.80,1.10,2.19,0.00,18:41:10.258
3.93,1.20,2.19,0.00,18:41:10.358
3.92,1.30,2.19,0.00,18:41:10.458
3.93,1.40,2.19,0.00,18:41:10.558
3.83,1.50,2.19,0.00,18:41:10.658
3.86,1.60,2.19,0.00,18:41:10.758
3.82,1.70,2.19,0.00,18:41:10.858
3.88,1.80,2.19,0.00,18:41:10.958
3.85,1.90,2.19,0.00,18:41:11.058
3.79,2.00,2.19,0.00,18:41:11.158
3.79,2.11,2.19,0.00,18:41:11.258
3.89,2.21,2.19,0.00,18:41:11.358
3.83,2.31,2.19,0.00,18:41:11.458
3.88,2.41,2.19,0.00,18:41:11.559
3.92,2.51,2.19,0.00,18:41:11.659
3.93,2.61,2.19,0.00,18:41:11.758
3.90,2.71,2.19,0.00,18:41:11.858
3.82,2.81,2.19,0.00,18:41:11.958
3.87,2.91,2.19,0.00,18:41:12.059
3.90,3.01,2.19,0.00,18:41:12.159
3.78,3.11,2.19,0.00,18:41:12.259
3.89,3.21,2.19,0.00,18:41:12.358
3.86,3.31,2.19,0.00,18:41:12.458
3.86,3.41,2.19,0.00,18:41:12.558
3.93,3.51,2.19,0.00,18:41:12.659
3.78,3.61,2.19,0.00,18:41:12.758
3.77,3.71,2.19,0.00,18:41:12.858
3.86,3.81,2.19,0.00,18:41:12.958
3.78,3.91,2.19,0.00,18:41:13.058
3.72,4.01,2.19,0.00,18:41:13.158
3.82,4.11,2.19,0.00,18:41:13.259
3.92,4.21,2.19,0.00,18:41:13.358
3.87,4.31,2.19,0.00,18:41:13.458
3.86,4.41,2.19,0.00,18:41:13.559
3.82,4.51,2.19,0.00,18:41:13.658
3.92,4.61,2.19,0.00,18:41:13.759
3.85,4.71,2.19,0.00,18:41:13.858
3.83,4.81,2.19,0.00,18:41:13.958
3.88,4.91,2.19,0.00,18:41:14.058
3.85,5.01,2.19,0.00,18:41:14.158
3.90,5.11,2.19,0.00,18:41:14.258
3.88,5.21,2.19,0.00,18:41:14.358
3.82,5.31,2.19,0.00,18:41:14.459
3.90,5.41,2.19,0.00,18:41:14.559
3.86,5.51,2.19,0.00,18:41:14.659
3.93,5.61,2.19,0.00,18:41:14.759
3.80,5.71,2.19,0.00,18:41:14.858
3.93,5.81,2.19,0.00,18:41:14.958
3.83,5.91,2.19,0.00,18:41:15.058
3.84,6.01,2.19,0.00,18:41:15.159
3.83,6.11,2.19,0.00,18:41:15.259
3.89,6.21,2.19,0.00,18:41:15.358
3.89,6.31,2.19,0.00,18:41:15.458
3.77,6.41,2.19,0.00,18:41:15.559
3.93,6.51,2.19,0.00,18:41:15.658
3.89,6.61,2.19,0.00,18:41:15.758
3.78,6.71,2.19,0.00,18:41:15.858
3.87,6.81,2.19,0.00,18:41:15.958
3.81,6.91,2.19,0.00,18:41:16.058
3.92,7.01,2.19,0.00,18:41:16.158
3.87,7.11,2.19,0.00,18:41:16.258
3.95,7.21,2.19,0.00,18:41:16.358
3.81,7.31,2.19,0.00,18:41:16.458
3.88,7.41,2.19,0.00,18:41:16.558
3.83,7.51,2.19,0.00,18:41:16.658
3.87,7.61,2.19,0.00,18:41:16.758
3.83,7.71,2.19,0.00,18:41:16.859
3.93,7.81,2.19,0.00,18:41:16.958
3.78,7.91,2.19,0.00,18:41:17.058
3.90,8.01,2.19,0.00,18:41:17.159
3.80,8.11,2.19,0.00,18:41:17.258
3.91,8.21,2.19,0.00,18:41:17.358
3.81,8.32,2.19,0.00,18:41:17.458
3.78,8.42,2.19,0.00,18:41:17.558
3.77,8.52,2.19,0.00,18:41:17.658
3.90,8.62,2.19,0.00,18:41:17.758
3.80,8.72,2.19,0.00,18:41:17.860
3.88,8.82,2.19,0.00,18:41:17.958
3.87,8.92,2.19,0.00,18:41:18.058
3.79,9.02,2.19,0.00,18:41:18.158
3.85,9.12,2.19,0.00,18:41:18.258
3.88,9.22,2.19,0.00,18:41:18.358
3.78,9.32,2.19,0.00,18:41:18.459
3.92,9.42,2.19,0.00,18:41:18.558
3.83,9.52,2.19,0.00,18:41:18.658
3.88,9.62,2.19,0.00,18:41:18.759
3.82,9.72,2.19,0.00,18:41:18.859
3.87,9.82,2.19,0.00,18:41:18.958
3.82,9.92,2.19,0.00,18:41:19.058
3.82,10.02,2.19,0.00,18:41:19.159
3.89,10.12,2.19,0.00,18:41:19.258
3.86,10.22,2.19,0.00,18:41:19.358
3.88,10.32,2.19,0.00,18:41:19.458
3.81,10.42,2.19,0.00,18:41:19.558
3.90,10.52,2.19,0.00,18:41:19.658
3.80,10.62,2.19,0.00,18:41:19.759
3.88,10.72,2.19,0.00,18:41:19.859
3.85,10.82,2.19,0.00,18:41:19.958
3.78,10.92,2.19,0.00,18:41:20.058
3.92,11.02,2.19,0.00,18:41:20.158
3.88,11.12,2.19,0.00,18:41:20.259
3.97,11.22,2.19,0.00,18:41:20.358
3.88,11.32,2.19,0.00,18:41:20.458
3.89,11.42,2.19,0.00,18:41:20.558
3.88,11.52,2.19,0.00,18:41:20.658
3.91,11.62,2.19,0.00,18:41:20.758
3.91,11.72,2.19,0.00,18:41:20.859
3.87,11.82,2.19,0.00,18:41:20.959
3.96,11.93,2.19,0.00,18:41:21.058
3.87,12.03,2.19,0.00,18:41:21.159
3.91,12.13,2.19,0.00,18:41:21.258
3.88,12.23,2.19,0.00,18:41:21.358
3.85,12.33,2.19,0.00,18:41:21.458
3.95,12.43,2.19,0.00,18:41:21.558
3.84,12.53,2.19,0.00,18:41:21.658
3.90,12.63,2.19,0.00,18:41:21.758
3.79,12.73,2.19,0.00,18:41:21.858
3.82,12.83,2.19,0.00,18:41:21.959
3.90,12.93,2.19,0.00,18:41:22.058
3.82,13.03,2.19,0.00,18:41:22.158
3.90,13.13,2.19,0.00,18:41:22.258
3.81,13.23,2.19,0.00,18:41:22.358
3.92,13.33,2.19,0.00,18:41:22.459
3.79,13.43,2.19,0.00,18:41:22.559
3.87,13.53,2.19,0.00,18:41:22.658
3.80,13.63,2.19,0.00,18:41:22.758
3.87,13.73,2.19,0.00,18:41:22.858
3.81,13.83,2.19,0.00,18:41:22.958
3.90,13.93,2.19,0.00,18:41:23.058
3.80,14.03,2.19,0.00,18:41:23.158
3.88,14.13,2.19,0.00,18:41:23.258
3.85,14.23,2.19,0.00,18:41:23.359
3.92,14.33,2.19,0.00,18:41:23.458
3.79,14.43,2.19,0.00,18:41:23.558
3.88,14.53,2.19,0.00,18:41:23.658
3.83,14.63,2.19,0.00,18:41:23.758
3.90,14.73,2.19,0.00,18:41:23.860
3.82,14.83,2.19,0.00,18:41:23.959
3.92,14.93,2.19,0.00,18:41:24.058
3.92,15.03,2.19,0.00,18:41:24.158
3.81,15.13,2.19,0.00,18:41:24.258
3.88,15.23,2.19,0.00,18:41:24.359
3.90,15.33,2.19,0.00,18:41:24.459
3.88,15.43,2.19,0.00,18:41:24.558
3.92,15.53,2.19,0.00,18:41:24.659
3.81,15.63,2.19,0.00,18:41:24.758
