Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.54,0.30,2.19,0.00,18:16:51.858
4.00,0.40,2.19,0.00,18:16:51.958
3.88,0.50,2.19,0.00,18:16:52.058
4.00,0.60,2.19,0.00,18:16:52.158
3.90,0.70,2.19,0.00,18:16:52.258
3.90,0.80,2.19,0.00,18:16:52.358
3.99,0.90,2.19,0.00,18:16:52.458
3.88,1.00,2.19,0.00,18:16:52.558
3.95,1.10,2.19,0.00,18:16:52.658
3.80,1.20,2.19,0.00,18:16:52.758
3.93,1.30,2.19,0.00,18:16:52.858
3.88,1.40,2.19,0.00,18:16:52.958
3.90,1.50,2.19,0.00,18:16:53.058
3.80,1.60,2.19,0.00,18:16:53.158
3.87,1.70,2.19,0.00,18:16:53.258
3.81,1.80,2.19,0.00,18:16:53.358
3.87,1.90,2.19,0.00,18:16:53.458
3.80,2.00,2.19,0.00,18:16:53.558
3.80,0.00,2.19,0.00,18:16:53.658
