Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:35:34.958
4.01,0.40,2.19,0.00,18:35:35.058
3.98,0.50,2.19,0.00,18:35:35.159
4.02,0.60,2.19,0.00,18:35:35.258
3.93,0.70,2.19,0.00,18:35:35.359
3.93,0.80,2.19,0.00,18:35:35.458
3.90,0.90,2.19,0.00,18:35:35.558
3.87,1.00,2.19,0.00,18:35:35.659
3.90,1.10,2.19,0.00,18:35:35.759
3.86,1.20,2.19,0.00,18:35:35.858
3.91,1.30,2.19,0.00,18:35:35.958
3.81,1.40,2.19,0.00,18:35:36.058
3.89,1.50,2.19,0.00,18:35:36.158
3.80,1.60,2.19,0.00,18:35:36.258
3.93,1.70,2.19,0.00,18:35:36.358
3.85,1.80,2.19,0.00,18:35:36.458
3.91,1.90,2.19,0.00,18:35:36.559
3.78,2.00,2.19,0.00,18:35:36.659
3.89,2.10,2.19,0.00,18:35:36.759
3.90,2.20,2.19,0.00,18:35:36.859
3.75,2.30,2.19,0.00,18:35:36.958
3.88,2.40,2.19,0.00,18:35:37.058
3.86,2.50,2.19,0.00,18:35:37.158
3.86,2.60,2.19,0.00,18:35:37.258
3.82,2.70,2.19,0.00,18:35:37.358
3.90,2.80,2.19,0.00,18:35:37.458
3.79,2.90,2.19,0.00,18:35:37.558
3.82,3.00,2.19,0.00,18:35:37.658
3.79,3.10,2.19,0.00,18:35:37.758
3.88,3.20,2.19,0.00,18:35:37.858
3.82,3.30,2.19,0.00,18:35:37.958
3.87,3.40,2.19,0.00,18:35:38.058
3.80,3.50,2.19,0.00,18:35:38.158
3.86,3.60,2.19,0.00,18:35:38.258
3.87,3.70,2.19,0.00,18:35:38.359
3.91,3.80,2.19,0.00,18:35:38.458
3.79,3.90,2.19,0.00,18:35:38.558
3.78,4.01,2.19,0.00,18:35:38.658
3.89,4.10,2.19,0.00,18:35:38.758
3.80,4.21,2.19,0.00,18:35:38.858
3.91,4.31,2.19,0.00,18:35:38.958
3.77,4.41,2.19,0.00,18:35:39.058
3.85,4.51,2.19,0.00,18:35:39.158
3.87,4.61,2.19,0.00,18:35:39.258
3.78,4.71,2.19,0.00,18:35:39.358
3.87,4.81,2.19,0.00,18:35:39.458
3.79,4.91,2.19,0.00,18:35:39.558
3.86,5.01,2.19,0.00,18:35:39.658
3.83,5.11,2.19,0.00,18:35:39.758
3.91,5.21,2.19,0.00,18:35:39.858
3.82,5.31,2.19,0.00,18:35:39.958
3.92,5.41,2.19,0.00,18:35:40.059
3.78,5.51,2.19,0.00,18:35:40.158
3.89,5.61,2.19,0.00,18:35:40.258
3.79,5.71,2.19,0.00,18:35:40.358
3.85,5.81,2.19,0.00,18:35:40.458
3.82,5.91,2.19,0.00,18:35:40.558
3.93,6.01,2.19,0.00,18:35:40.658
3.90,6.11,2.19,0.00,18:35:40.758
3.82,6.21,2.19,0.00,18:35:40.858
3.82,6.31,2.19,0.00,18:35:40.958
3.86,6.41,2.19,0.00,18:35:41.058
3.77,6.51,2.19,0.00,18:35:41.158
3.83,6.61,2.19,0.00,18:35:41.258
3.82,6.71,2.19,0.00,18:35:41.358
3.86,6.81,2.19,0.00,18:35:41.458
3.87,6.91,2.19,0.00,18:35:41.558
3.92,7.01,2.19,0.00,18:35:41.659
3.86,7.11,2.19,0.00,18:35:41.758
3.92,7.21,2.19,0.00,18:35:41.858
3.77,7.31,2.19,0.00,18:35:41.958
3.88,7.41,2.19,0.00,18:35:42.059
3.80,7.51,2.19,0.00,18:35:42.158
3.90,7.61,2.19,0.00,18:35:42.258
3.90,7.71,2.19,0.00,18:35:42.358
3.94,7.81,2.19,0.00,18:35:42.458
3.87,7.91,2.19,0.00,18:35:42.558
3.89,8.01,2.19,0.00,18:35:42.658
3.87,8.11,2.19,0.00,18:35:42.758
3.89,8.21,2.19,0.00,18:35:42.858
3.88,8.31,2.19,0.00,18:35:42.958
3.78,8.41,2.19,0.00,18:35:43.058
3.89,8.51,2.19,0.00,18:35:43.158
3.85,8.61,2.19,0.00,18:35:43.258
3.90,8.71,2.19,0.00,18:35:43.358
3.82,8.81,2.19,0.00,18:35:43.458
3.90,8.91,2.19,0.00,18:35:43.558
3.84,9.01,2.19,0.00,18:35:43.658
3.78,9.11,2.19,0.00,18:35:43.758
3.86,9.21,2.19,0.00,18:35:43.858
3.79,9.31,2.19,0.00,18:35:43.958
3.88,9.41,2.19,0.00,18:35:44.058
3.78,9.51,2.19,0.00,18:35:44.158
3.83,9.61,2.19,0.00,18:35:44.258
3.97,9.71,2.19,0.00,18:35:44.358
3.81,9.81,2.19,0.00,18:35:44.458
3.83,9.91,2.19,0.00,18:35:44.558
3.85,10.01,2.19,0.00,18:35:44.659
3.82,10.11,2.19,0.00,18:35:44.758
3.91,10.21,2.19,0.00,18:35:44.858
3.77,10.31,2.19,0.00,18:35:44.958
3.81,10.41,2.19,0.00,18:35:45.058
3.87,10.51,2.19,0.00,18:35:45.158
3.82,10.61,2.19,0.00,18:35:45.258
3.91,10.71,2.19,0.00,18:35:45.358
3.79,10.81,2.19,0.00,18:35:45.458
3.88,10.91,2.19,0.00,18:35:45.558
3.81,11.01,2.19,0.00,18:35:45.658
3.95,11.11,2.19,0.00,18:35:45.758
3.86,11.21,2.19,0.00,18:35:45.858
3.92,11.31,2.19,0.00,18:35:45.958
3.83,11.41,2.19,0.00,18:35:46.058
3.97,11.51,2.19,0.00,18:35:46.158
3.81,11.61,2.19,0.00,18:35:46.258
3.90,11.71,2.19,0.00,18:35:46.358
3.77,11.81,2.19,0.00,18:35:46.458
3.90,11.91,2.19,0.00,18:35:46.558
3.77,12.01,2.19,0.00,18:35:46.658
3.78,12.12,2.19,0.00,18:35:46.758
3.88,12.22,2.19,0.00,18:35:46.858
3.92,12.31,2.19,0.00,18:35:46.958
3.98,12.42,2.19,0.00,18:35:47.058
3.92,12.51,2.19,0.00,18:35:47.158
3.89,12.62,2.19,0.00,18:35:47.258
3.88,12.71,2.19,0.00,18:35:47.358
3.92,12.82,2.19,0.00,18:35:47.458
3.87,12.92,2.19,0.00,18:35:47.558
3.87,13.02,2.19,0.00,18:35:47.658
3.80,13.12,2.19,0.00,18:35:47.758
3.83,13.22,2.19,0.00,18:35:47.858
3.87,13.31,2.19,0.00,18:35:47.958
3.85,13.42,2.19,0.00,18:35:48.058
3.77,13.52,2.19,0.00,18:35:48.158
3.87,13.62,2.19,0.00,18:35:48.258
3.78,13.72,2.19,0.00,18:35:48.358
3.86,13.82,2.19,0.00,18:35:48.458
3.81,13.91,2.19,0.00,18:35:48.558
3.87,14.02,2.19,0.00,18:35:48.658
3.75,14.12,2.19,0.00,18:35:48.758
3.85,14.22,2.19,0.00,18:35:48.858
3.87,14.32,2.19,0.00,18:35:48.958
3.83,14.42,2.19,0.00,18:35:49.058
3.82,14.52,2.19,0.00,18:35:49.158
3.79,14.62,2.19,0.00,18:35:49.258
3.79,14.72,2.19,0.00,18:35:49.359
3.87,14.82,2.19,0.00,18:35:49.458
3.88,14.92,2.19,0.00,18:35:49.558
3.84,15.02,2.19,0.00,18:35:49.659
3.87,15.12,2.19,0.00,18:35:49.758
3.97,15.22,2.19,0.00,18:35:49.858
3.82,15.32,2.19,0.00,18:35:49.958
3.89,15.42,2.19,0.00,18:35:50.058
3.76,15.52,2.19,0.00,18:35:50.158
3.92,15.62,2.19,0.00,18:35:50.258
3.85,15.72,2.19,0.00,18:35:50.359
3.92,15.82,2.19,0.00,18:35:50.458
3.82,15.92,2.19,0.00,18:35:50.558
3.88,16.02,2.19,0.00,18:35:50.659
3.77,16.12,2.19,0.00,18:35:50.759
3.88,16.22,2.19,0.00,18:35:50.858
3.83,16.32,2.19,0.00,18:35:50.958
3.89,16.42,2.19,0.00,18:35:51.058
3.82,16.52,2.19,0.00,18:35:51.158
3.87,16.62,2.19,0.00,18:35:51.258
3.82,16.72,2.19,0.00,18:35:51.359
3.85,16.82,2.19,0.00,18:35:51.459
3.86,16.92,2.19,0.00,18:35:51.558
3.79,17.02,2.19,0.00,18:35:51.658
3.81,17.12,2.19,0.00,18:35:51.758
3.84,17.22,2.19,0.00,18:35:51.859
3.85,17.32,2.19,0.00,18:35:51.958
3.86,17.42,2.19,0.00,18:35:52.058
3.65,17.52,2.19,0.00,18:35:52.158
3.84,17.62,2.19,0.00,18:35:52.258
