Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.63,0.30,2.19,0.00,18:37:26.558
3.98,0.40,2.19,0.00,18:37:26.658
3.95,0.50,2.19,0.00,18:37:26.759
4.06,0.60,2.19,0.00,18:37:26.858
3.86,0.70,2.19,0.00,18:37:26.959
4.02,0.80,2.19,0.00,18:37:27.058
3.87,0.90,2.19,0.00,18:37:27.158
3.98,1.00,2.19,0.00,18:37:27.258
3.88,1.10,2.19,0.00,18:37:27.359
3.91,1.20,2.19,0.00,18:37:27.458
3.81,1.30,2.19,0.00,18:37:27.558
3.91,1.40,2.19,0.00,18:37:27.658
3.90,1.50,2.19,0.00,18:37:27.759
3.89,1.60,2.19,0.00,18:37:27.858
3.79,1.70,2.19,0.00,18:37:27.958
3.86,1.80,2.19,0.00,18:37:28.058
3.79,1.90,2.19,0.00,18:37:28.158
3.92,2.00,2.19,0.00,18:37:28.258
3.79,2.10,2.19,0.00,18:37:28.358
3.85,2.20,2.19,0.00,18:37:28.458
3.92,2.30,2.19,0.00,18:37:28.558
3.85,2.40,2.19,0.00,18:37:28.658
3.77,2.51,2.19,0.00,18:37:28.758
3.86,2.61,2.19,0.00,18:37:28.859
3.87,2.71,2.19,0.00,18:37:28.958
3.86,2.80,2.19,0.00,18:37:29.058
3.78,2.91,2.19,0.00,18:37:29.158
3.87,3.00,2.19,0.00,18:37:29.258
3.78,3.11,2.19,0.00,18:37:29.358
3.86,3.20,2.19,0.00,18:37:29.458
3.81,3.31,2.19,0.00,18:37:29.559
3.87,3.40,2.19,0.00,18:37:29.658
3.85,3.51,2.19,0.00,18:37:29.758
3.90,3.60,2.19,0.00,18:37:29.858
3.83,3.70,2.19,0.00,18:37:29.958
3.90,3.81,2.19,0.00,18:37:30.058
3.92,3.91,2.19,0.00,18:37:30.158
3.89,4.01,2.19,0.00,18:37:30.258
3.80,4.11,2.19,0.00,18:37:30.358
3.70,4.21,2.19,0.00,18:37:30.458
3.90,4.31,2.19,0.00,18:37:30.558
3.80,4.41,2.19,0.00,18:37:30.658
3.78,4.51,2.19,0.00,18:37:30.758
3.87,4.61,2.19,0.00,18:37:30.858
3.79,4.71,2.19,0.00,18:37:30.958
3.86,4.81,2.19,0.00,18:37:31.058
3.84,4.91,2.19,0.00,18:37:31.158
3.89,5.01,2.19,0.00,18:37:31.258
3.77,5.11,2.19,0.00,18:37:31.358
3.85,5.21,2.19,0.00,18:37:31.459
