Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:16:41.658
3.87,0.40,2.19,0.00,18:16:41.759
4.03,0.50,2.19,0.00,18:16:41.858
3.91,0.60,2.19,0.00,18:16:41.959
3.97,0.70,2.19,0.00,18:16:42.059
3.94,0.80,2.19,0.00,18:16:42.158
3.87,0.90,2.19,0.00,18:16:42.258
3.83,1.00,2.19,0.00,18:16:42.358
3.85,1.10,2.19,0.00,18:16:42.458
3.86,1.20,2.19,0.00,18:16:42.558
3.93,1.30,2.19,0.00,18:16:42.658
3.87,1.40,2.19,0.00,18:16:42.758
3.89,1.50,2.19,0.00,18:16:42.858
3.81,1.60,2.19,0.00,18:16:42.959
3.89,1.70,2.19,0.00,18:16:43.058
3.87,1.80,2.19,0.00,18:16:43.158
3.80,1.91,2.19,0.00,18:16:43.258
3.88,2.01,2.19,0.00,18:16:43.358
3.88,0.00,2.19,0.00,18:16:43.458
