Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.65,0.30,2.19,0.00,18:45:43.458
3.96,0.40,2.19,0.00,18:45:43.559
4.04,0.50,2.19,0.00,18:45:43.658
3.98,0.60,2.19,0.00,18:45:43.759
3.88,0.70,2.19,0.00,18:45:43.858
3.99,0.70,2.19,0.00,18:45:43.958
3.97,0.90,2.19,0.00,18:45:44.060
3.84,0.90,2.19,0.00,18:45:44.158
3.85,1.10,2.19,0.00,18:45:44.260
3.97,1.20,2.19,0.00,18:45:44.358
3.95,1.30,2.19,0.00,18:45:44.459
3.85,1.30,2.19,0.00,18:45:44.558
3.91,1.40,2.19,0.00,18:45:44.658
3.81,1.50,2.19,0.00,18:45:44.758
3.89,1.60,2.19,0.00,18:45:44.858
3.89,1.70,2.19,0.00,18:45:44.958
3.92,1.80,2.19,0.00,18:45:45.058
3.90,1.90,2.19,0.00,18:45:45.158
3.90,2.00,2.19,0.00,18:45:45.258
3.82,2.10,2.19,0.00,18:45:45.359
3.91,2.21,2.19,0.00,18:45:45.458
3.87,2.31,2.19,0.00,18:45:45.558
3.79,2.41,2.19,0.00,18:45:45.659
3.90,2.51,2.19,0.00,18:45:45.759
3.91,2.61,2.19,0.00,18:45:45.858
3.80,2.71,2.19,0.00,18:45:45.958
3.82,2.81,2.19,0.00,18:45:46.058
3.85,2.91,2.19,0.00,18:45:46.158
3.88,3.01,2.19,0.00,18:45:46.259
3.83,3.11,2.19,0.00,18:45:46.358
3.88,3.21,2.19,0.00,18:45:46.459
3.86,3.31,2.19,0.00,18:45:46.558
3.89,3.41,2.19,0.00,18:45:46.658
3.82,3.51,2.19,0.00,18:45:46.758
3.85,3.61,2.19,0.00,18:45:46.858
3.79,3.71,2.19,0.00,18:45:46.958
3.88,3.81,2.19,0.00,18:45:47.058
3.84,3.91,2.19,0.00,18:45:47.158
3.90,4.01,2.19,0.00,18:45:47.258
3.80,4.11,2.19,0.00,18:45:47.358
3.87,4.21,2.19,0.00,18:45:47.458
3.80,4.31,2.19,0.00,18:45:47.559
