Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:43:00.958
3.95,0.40,2.19,0.00,18:43:01.058
4.07,0.50,2.19,0.00,18:43:01.158
3.97,0.60,2.19,0.00,18:43:01.258
3.85,0.70,2.19,0.00,18:43:01.358
3.97,0.80,2.19,0.00,18:43:01.459
3.93,0.90,2.19,0.00,18:43:01.558
3.96,1.00,2.19,0.00,18:43:01.658
3.86,1.10,2.19,0.00,18:43:01.758
3.95,1.20,2.19,0.00,18:43:01.859
3.87,1.30,2.19,0.00,18:43:01.959
3.91,1.40,2.19,0.00,18:43:02.058
3.87,1.50,2.19,0.00,18:43:02.158
3.93,1.60,2.19,0.00,18:43:02.258
3.87,1.70,2.19,0.00,18:43:02.358
3.85,1.80,2.19,0.00,18:43:02.458
3.90,1.90,2.19,0.00,18:43:02.559
3.85,2.00,2.19,0.00,18:43:02.658
3.92,2.10,2.19,0.00,18:43:02.758
3.78,2.20,2.19,0.00,18:43:02.858
3.90,2.30,2.19,0.00,18:43:02.958
3.86,2.40,2.19,0.00,18:43:03.058
3.81,2.51,2.19,0.00,18:43:03.159
3.88,2.61,2.19,0.00,18:43:03.258
3.91,2.71,2.19,0.00,18:43:03.358
3.79,2.81,2.19,0.00,18:43:03.458
3.87,2.91,2.19,0.00,18:43:03.558
3.84,3.01,2.19,0.00,18:43:03.659
3.79,3.11,2.19,0.00,18:43:03.758
3.87,3.21,2.19,0.00,18:43:03.858
3.87,3.31,2.19,0.00,18:43:03.958
3.91,3.41,2.19,0.00,18:43:04.058
3.83,3.51,2.19,0.00,18:43:04.158
3.88,3.61,2.19,0.00,18:43:04.258
3.82,3.71,2.19,0.00,18:43:04.359
3.82,3.81,2.19,0.00,18:43:04.458
3.90,3.91,2.19,0.00,18:43:04.558
3.88,4.01,2.19,0.00,18:43:04.658
3.78,4.11,2.19,0.00,18:43:04.759
3.87,4.21,2.19,0.00,18:43:04.858
3.77,4.31,2.19,0.00,18:43:04.958
3.87,4.41,2.19,0.00,18:43:05.058
3.78,4.51,2.19,0.00,18:43:05.158
3.90,4.61,2.19,0.00,18:43:05.259
3.89,4.71,2.19,0.00,18:43:05.358
3.82,4.81,2.19,0.00,18:43:05.458
3.79,4.91,2.19,0.00,18:43:05.558
3.86,5.01,2.19,0.00,18:43:05.658
3.77,5.11,2.19,0.00,18:43:05.758
3.84,5.21,2.19,0.00,18:43:05.859
3.77,5.31,2.19,0.00,18:43:05.958
3.81,5.41,2.19,0.00,18:43:06.059
3.87,5.51,2.19,0.00,18:43:06.158
3.79,5.61,2.19,0.00,18:43:06.258
3.91,5.71,2.19,0.00,18:43:06.358
3.96,5.81,2.19,0.00,18:43:06.458
3.75,5.91,2.19,0.00,18:43:06.558
3.89,6.01,2.19,0.00,18:43:06.659
3.88,6.12,2.19,0.00,18:43:06.758
3.89,6.22,2.19,0.00,18:43:06.859
3.80,6.31,2.19,0.00,18:43:06.958
3.95,6.42,2.19,0.00,18:43:07.058
3.87,6.52,2.19,0.00,18:43:07.158
3.79,6.62,2.19,0.00,18:43:07.258
3.85,6.72,2.19,0.00,18:43:07.358
3.87,6.82,2.19,0.00,18:43:07.458
3.78,6.92,2.19,0.00,18:43:07.558
3.93,7.02,2.19,0.00,18:43:07.659
3.83,7.12,2.19,0.00,18:43:07.758
3.93,7.22,2.19,0.00,18:43:07.858
3.90,7.32,2.19,0.00,18:43:07.958
3.80,7.42,2.19,0.00,18:43:08.058
3.83,7.52,2.19,0.00,18:43:08.158
3.95,7.62,2.19,0.00,18:43:08.258
3.84,7.72,2.19,0.00,18:43:08.359
3.81,7.82,2.19,0.00,18:43:08.458
3.80,7.92,2.19,0.00,18:43:08.558
3.80,8.02,2.19,0.00,18:43:08.659
3.82,8.12,2.19,0.00,18:43:08.758
3.83,8.22,2.19,0.00,18:43:08.858
3.80,8.32,2.19,0.00,18:43:08.958
3.88,8.42,2.19,0.00,18:43:09.058
3.88,8.52,2.19,0.00,18:43:09.159
3.87,8.62,2.19,0.00,18:43:09.258
3.92,8.72,2.19,0.00,18:43:09.358
3.78,8.82,2.19,0.00,18:43:09.458
3.88,8.92,2.19,0.00,18:43:09.558
3.92,9.02,2.19,0.00,18:43:09.660
3.82,9.12,2.19,0.00,18:43:09.758
3.89,9.22,2.19,0.00,18:43:09.859
3.79,9.32,2.19,0.00,18:43:09.958
3.80,9.42,2.19,0.00,18:43:10.058
3.80,9.52,2.19,0.00,18:43:10.158
3.81,9.62,2.19,0.00,18:43:10.258
3.78,9.72,2.19,0.00,18:43:10.359
3.81,9.82,2.19,0.00,18:43:10.458
3.86,9.92,2.19,0.00,18:43:10.559
3.87,10.02,2.19,0.00,18:43:10.658
3.80,10.12,2.19,0.00,18:43:10.758
3.87,10.22,2.19,0.00,18:43:10.859
3.89,10.32,2.19,0.00,18:43:10.958
3.82,10.42,2.19,0.00,18:43:11.058
3.88,10.52,2.19,0.00,18:43:11.159
3.72,10.62,2.19,0.00,18:43:11.258
3.86,10.72,2.19,0.00,18:43:11.358
3.89,10.82,2.19,0.00,18:43:11.458
3.97,10.92,2.19,0.00,18:43:11.558
3.87,11.02,2.19,0.00,18:43:11.658
3.90,11.12,2.19,0.00,18:43:11.758
3.81,11.22,2.19,0.00,18:43:11.858
3.88,11.32,2.19,0.00,18:43:11.958
3.83,11.42,2.19,0.00,18:43:12.058
3.92,11.52,2.19,0.00,18:43:12.158
3.79,11.62,2.19,0.00,18:43:12.260
3.91,11.72,2.19,0.00,18:43:12.358
3.83,11.82,2.19,0.00,18:43:12.458
3.88,11.92,2.19,0.00,18:43:12.558
3.81,12.02,2.19,0.00,18:43:12.658
3.88,12.12,2.19,0.00,18:43:12.758
3.82,12.22,2.19,0.00,18:43:12.858
3.89,12.32,2.19,0.00,18:43:12.958
3.80,12.42,2.19,0.00,18:43:13.058
3.92,12.52,2.19,0.00,18:43:13.158
3.85,12.62,2.19,0.00,18:43:13.258
3.90,12.72,2.19,0.00,18:43:13.358
3.80,12.82,2.19,0.00,18:43:13.458
3.93,12.92,2.19,0.00,18:43:13.558
3.84,13.02,2.19,0.00,18:43:13.658
3.93,13.12,2.19,0.00,18:43:13.758
3.83,13.22,2.19,0.00,18:43:13.858
3.92,13.32,2.19,0.00,18:43:13.958
3.92,13.42,2.19,0.00,18:43:14.058
3.87,13.52,2.19,0.00,18:43:14.158
3.87,13.62,2.19,0.00,18:43:14.258
3.85,13.72,2.19,0.00,18:43:14.358
3.89,13.82,2.19,0.00,18:43:14.458
3.90,13.92,2.19,0.00,18:43:14.559
3.86,14.02,2.19,0.00,18:43:14.658
3.91,14.13,2.19,0.00,18:43:14.758
3.85,14.22,2.19,0.00,18:43:14.858
3.92,14.33,2.19,0.00,18:43:14.959
3.87,14.43,2.19,0.00,18:43:15.058
3.83,14.53,2.19,0.00,18:43:15.158
3.86,14.63,2.19,0.00,18:43:15.259
3.87,14.73,2.19,0.00,18:43:15.358
3.88,14.83,2.19,0.00,18:43:15.459
3.80,14.93,2.19,0.00,18:43:15.559
3.85,15.03,2.19,0.00,18:43:15.658
3.81,15.13,2.19,0.00,18:43:15.759
3.80,15.23,2.19,0.00,18:43:15.858
3.87,15.33,2.19,0.00,18:43:15.958
3.78,15.43,2.19,0.00,18:43:16.059
3.87,15.53,2.19,0.00,18:43:16.158
3.80,15.63,2.19,0.00,18:43:16.258
3.88,15.73,2.19,0.00,18:43:16.359
3.78,15.83,2.19,0.00,18:43:16.458
3.88,15.93,2.19,0.00,18:43:16.558
3.78,16.03,2.19,0.00,18:43:16.658
3.90,16.13,2.19,0.00,18:43:16.758
3.79,16.23,2.19,0.00,18:43:16.858
3.78,16.33,2.19,0.00,18:43:16.959
3.91,16.43,2.19,0.00,18:43:17.058
3.82,16.53,2.19,0.00,18:43:17.158
3.85,16.63,2.19,0.00,18:43:17.258
3.88,16.73,2.19,0.00,18:43:17.358
3.79,16.83,2.19,0.00,18:43:17.459
3.90,16.93,2.19,0.00,18:43:17.558
3.90,17.03,2.19,0.00,18:43:17.658
3.88,17.13,2.19,0.00,18:43:17.758
3.98,17.23,2.19,0.00,18:43:17.858
3.97,17.33,2.19,0.00,18:43:17.959
3.82,17.43,2.19,0.00,18:43:18.058
3.95,17.53,2.19,0.00,18:43:18.158
3.87,17.63,2.19,0.00,18:43:18.258
3.91,17.73,2.19,0.00,18:43:18.358
3.87,17.83,2.19,0.00,18:43:18.458
3.80,17.93,2.19,0.00,18:43:18.558
3.80,18.03,2.19,0.00,18:43:18.658
3.80,18.13,2.19,0.00,18:43:18.758
3.88,18.23,2.19,0.00,18:43:18.858
3.86,18.33,2.19,0.00,18:43:18.958
3.78,18.43,2.19,0.00,18:43:19.058
3.85,18.53,2.19,0.00,18:43:19.158
3.79,18.63,2.19,0.00,18:43:19.258
3.88,18.73,2.19,0.00,18:43:19.358
3.87,18.83,2.19,0.00,18:43:19.458
3.88,18.93,2.19,0.00,18:43:19.558
3.87,19.03,2.19,0.00,18:43:19.658
3.90,19.13,2.19,0.00,18:43:19.758
3.80,19.23,2.19,0.00,18:43:19.858
3.88,19.33,2.19,0.00,18:43:19.958
3.82,19.43,2.19,0.00,18:43:20.058
3.92,19.53,2.19,0.00,18:43:20.158
3.84,19.63,2.19,0.00,18:43:20.259
3.89,19.73,2.19,0.00,18:43:20.358
3.78,19.83,2.19,0.00,18:43:20.458
3.89,19.93,2.19,0.00,18:43:20.558
3.76,20.03,2.19,0.00,18:43:20.658
3.87,20.13,2.19,0.00,18:43:20.758
