Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.62,0.30,2.19,0.00,18:16:31.558
3.98,0.40,2.19,0.00,18:16:31.658
3.98,0.50,2.19,0.00,18:16:31.758
3.92,0.60,2.19,0.00,18:16:31.859
3.99,0.70,2.19,0.00,18:16:31.958
3.87,0.80,2.19,0.00,18:16:32.058
3.96,0.90,2.19,0.00,18:16:32.158
3.85,1.00,2.19,0.00,18:16:32.258
3.78,1.10,2.19,0.00,18:16:32.359
3.92,1.20,2.19,0.00,18:16:32.458
3.78,1.30,2.19,0.00,18:16:32.558
3.93,1.40,2.19,0.00,18:16:32.658
3.81,1.50,2.19,0.00,18:16:32.758
3.90,1.60,2.19,0.00,18:16:32.858
3.78,1.70,2.19,0.00,18:16:32.958
3.88,1.80,2.19,0.00,18:16:33.058
3.80,1.90,2.19,0.00,18:16:33.158
4.02,2.00,2.19,0.00,18:16:33.258
4.02,0.00,2.19,0.00,18:16:33.358
