Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.87,13.42,2.19,0.00,18:46:57.158
3.86,13.52,2.19,0.00,18:46:57.258
3.89,13.62,2.19,0.00,18:46:57.358
3.89,13.72,2.19,0.00,18:46:57.458
3.80,13.82,2.19,0.00,18:46:57.559
3.90,13.92,2.19,0.00,18:46:57.658
3.90,14.03,2.19,0.00,18:46:57.758
3.83,14.13,2.19,0.00,18:46:57.858
3.93,14.23,2.19,0.00,18:46:57.958
3.82,14.33,2.19,0.00,18:46:58.058
3.88,14.43,2.19,0.00,18:46:58.158
3.82,14.53,2.19,0.00,18:46:58.260
3.87,14.63,2.19,0.00,18:46:58.358
3.83,14.73,2.19,0.00,18:46:58.459
3.92,14.83,2.19,0.00,18:46:58.558
3.87,14.93,2.19,0.00,18:46:58.658
3.90,15.03,2.19,0.00,18:46:58.758
3.91,15.13,2.19,0.00,18:46:58.859
3.83,15.23,2.19,0.00,18:46:58.958
3.95,15.33,2.19,0.00,18:46:59.059
3.85,15.43,2.19,0.00,18:46:59.158
3.90,15.53,2.19,0.00,18:46:59.258
3.81,15.63,2.19,0.00,18:46:59.358
3.92,15.73,2.19,0.00,18:46:59.458
3.77,15.83,2.19,0.00,18:46:59.558
3.88,15.93,2.19,0.00,18:46:59.658
3.85,16.03,2.19,0.00,18:46:59.758
3.90,16.13,2.19,0.00,18:46:59.858
3.79,16.23,2.19,0.00,18:46:59.958
3.88,16.33,2.19,0.00,18:47:00.058
3.88,16.43,2.19,0.00,18:47:00.160
3.91,16.53,2.19,0.00,18:47:00.258
3.80,16.63,2.19,0.00,18:47:00.358
3.89,16.73,2.19,0.00,18:47:00.458
3.89,16.83,2.19,0.00,18:47:00.558
3.84,16.93,2.19,0.00,18:47:00.659
3.90,17.03,2.19,0.00,18:47:00.758
3.77,17.13,2.19,0.00,18:47:00.859
3.87,17.23,2.19,0.00,18:47:00.958
3.78,17.33,2.19,0.00,18:47:01.058
3.86,17.43,2.19,0.00,18:47:01.158
3.79,17.53,2.19,0.00,18:47:01.258
3.89,17.63,2.19,0.00,18:47:01.359
3.89,17.73,2.19,0.00,18:47:01.459
3.89,17.83,2.19,0.00,18:47:01.558
3.88,17.93,2.19,0.00,18:47:01.658
3.81,18.03,2.19,0.00,18:47:01.758
3.87,18.13,2.19,0.00,18:47:01.858
3.82,18.23,2.19,0.00,18:47:01.958
3.92,18.33,2.19,0.00,18:47:02.058
3.92,18.43,2.19,0.00,18:47:02.158
3.93,18.53,2.19,0.00,18:47:02.258
3.81,18.63,2.19,0.00,18:47:02.358
3.92,18.73,2.19,0.00,18:47:02.459
3.82,18.83,2.19,0.00,18:47:02.558
3.91,18.93,2.19,0.00,18:47:02.658
3.82,19.03,2.19,0.00,18:47:02.758
3.92,19.13,2.19,0.00,18:47:02.858
3.85,19.23,2.19,0.00,18:47:02.958
3.82,19.33,2.19,0.00,18:47:03.059
3.91,19.43,2.19,0.00,18:47:03.158
3.82,19.53,2.19,0.00,18:47:03.258
3.92,19.63,2.19,0.00,18:47:03.358
3.79,19.73,2.19,0.00,18:47:03.458
3.89,19.83,2.19,0.00,18:47:03.558
3.78,19.93,2.19,0.00,18:47:03.658
3.93,20.03,2.19,0.00,18:47:03.758
3.85,20.13,2.19,0.00,18:47:03.858
3.87,20.24,2.19,0.00,18:47:03.959
3.91,20.34,2.19,0.00,18:47:04.058
3.78,20.44,2.19,0.00,18:47:04.158
3.92,20.54,2.19,0.00,18:47:04.258
3.93,20.64,2.19,0.00,18:47:04.359
3.88,20.74,2.19,0.00,18:47:04.459
3.91,20.84,2.19,0.00,18:47:04.558
3.81,20.94,2.19,0.00,18:47:04.658
3.77,21.04,2.19,0.00,18:47:04.758
3.82,21.14,2.19,0.00,18:47:04.858
3.88,21.24,2.19,0.00,18:47:04.958
3.87,21.34,2.19,0.00,18:47:05.059
3.90,21.44,2.19,0.00,18:47:05.159
3.87,21.54,2.19,0.00,18:47:05.258
3.80,21.64,2.19,0.00,18:47:05.358
3.92,21.74,2.19,0.00,18:47:05.459
3.84,21.84,2.19,0.00,18:47:05.559
3.93,21.94,2.19,0.00,18:47:05.658
3.93,0.00,2.19,0.00,18:47:05.759
