Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.65,0.30,2.19,0.00,18:39:48.559
3.91,0.40,2.19,0.00,18:39:48.658
3.98,0.50,2.19,0.00,18:39:48.758
4.05,0.60,2.19,0.00,18:39:48.859
3.99,0.70,2.19,0.00,18:39:48.958
3.89,0.80,2.19,0.00,18:39:49.058
3.91,0.90,2.19,0.00,18:39:49.158
3.82,1.00,2.19,0.00,18:39:49.258
3.87,1.10,2.19,0.00,18:39:49.358
3.85,1.20,2.19,0.00,18:39:49.458
3.91,1.30,2.19,0.00,18:39:49.558
3.77,1.40,2.19,0.00,18:39:49.658
3.85,1.50,2.19,0.00,18:39:49.758
3.78,1.60,2.19,0.00,18:39:49.858
3.80,1.70,2.19,0.00,18:39:49.958
3.88,1.80,2.19,0.00,18:39:50.058
3.84,1.90,2.19,0.00,18:39:50.158
3.82,2.00,2.19,0.00,18:39:50.258
3.89,2.11,2.19,0.00,18:39:50.358
3.77,2.21,2.19,0.00,18:39:50.458
3.87,2.31,2.19,0.00,18:39:50.558
3.79,2.41,2.19,0.00,18:39:50.658
3.92,2.51,2.19,0.00,18:39:50.758
3.88,2.61,2.19,0.00,18:39:50.858
3.81,2.71,2.19,0.00,18:39:50.959
3.87,2.81,2.19,0.00,18:39:51.058
3.81,2.91,2.19,0.00,18:39:51.158
3.86,3.01,2.19,0.00,18:39:51.258
3.87,3.11,2.19,0.00,18:39:51.359
3.85,3.21,2.19,0.00,18:39:51.458
3.81,3.31,2.19,0.00,18:39:51.559
3.91,3.41,2.19,0.00,18:39:51.658
3.89,3.51,2.19,0.00,18:39:51.758
3.80,3.61,2.19,0.00,18:39:51.858
3.84,3.71,2.19,0.00,18:39:51.959
3.87,3.81,2.19,0.00,18:39:52.058
3.84,3.91,2.19,0.00,18:39:52.158
3.85,4.01,2.19,0.00,18:39:52.259
3.86,4.11,2.19,0.00,18:39:52.358
3.87,4.21,2.19,0.00,18:39:52.458
3.87,4.31,2.19,0.00,18:39:52.558
3.77,4.41,2.19,0.00,18:39:52.658
3.86,4.51,2.19,0.00,18:39:52.758
3.78,4.61,2.19,0.00,18:39:52.858
3.92,4.71,2.19,0.00,18:39:52.958
3.81,4.81,2.19,0.00,18:39:53.058
3.95,4.91,2.19,0.00,18:39:53.158
3.81,5.01,2.19,0.00,18:39:53.258
3.87,5.11,2.19,0.00,18:39:53.359
3.84,5.21,2.19,0.00,18:39:53.458
3.87,5.31,2.19,0.00,18:39:53.559
3.82,5.41,2.19,0.00,18:39:53.658
3.92,5.51,2.19,0.00,18:39:53.758
3.85,5.61,2.19,0.00,18:39:53.858
3.95,5.71,2.19,0.00,18:39:53.958
3.85,5.81,2.19,0.00,18:39:54.058
3.89,5.91,2.19,0.00,18:39:54.158
3.81,6.01,2.19,0.00,18:39:54.258
3.87,6.11,2.19,0.00,18:39:54.358
3.82,6.21,2.19,0.00,18:39:54.458
3.80,6.31,2.19,0.00,18:39:54.558
3.92,6.41,2.19,0.00,18:39:54.658
3.81,6.51,2.19,0.00,18:39:54.758
3.87,6.61,2.19,0.00,18:39:54.858
3.79,6.71,2.19,0.00,18:39:54.958
3.87,6.81,2.19,0.00,18:39:55.058
3.79,6.91,2.19,0.00,18:39:55.158
3.87,7.01,2.19,0.00,18:39:55.258
3.78,7.11,2.19,0.00,18:39:55.358
3.87,7.21,2.19,0.00,18:39:55.458
3.80,7.31,2.19,0.00,18:39:55.559
3.89,7.41,2.19,0.00,18:39:55.658
3.77,7.51,2.19,0.00,18:39:55.758
3.88,7.61,2.19,0.00,18:39:55.858
3.80,7.71,2.19,0.00,18:39:55.958
3.90,7.81,2.19,0.00,18:39:56.058
3.80,7.91,2.19,0.00,18:39:56.158
3.92,8.01,2.19,0.00,18:39:56.258
3.94,8.11,2.19,0.00,18:39:56.358
3.87,8.21,2.19,0.00,18:39:56.458
3.93,8.31,2.19,0.00,18:39:56.559
3.84,8.41,2.19,0.00,18:39:56.658
3.91,8.51,2.19,0.00,18:39:56.758
3.90,8.62,2.19,0.00,18:39:56.858
3.90,8.72,2.19,0.00,18:39:56.958
3.82,8.82,2.19,0.00,18:39:57.059
3.88,8.92,2.19,0.00,18:39:57.158
3.77,9.02,2.19,0.00,18:39:57.259
3.91,9.12,2.19,0.00,18:39:57.358
3.80,9.22,2.19,0.00,18:39:57.458
3.90,9.32,2.19,0.00,18:39:57.559
3.82,9.42,2.19,0.00,18:39:57.658
3.83,9.52,2.19,0.00,18:39:57.758
3.91,9.62,2.19,0.00,18:39:57.858
3.79,9.72,2.19,0.00,18:39:57.959
3.95,9.82,2.19,0.00,18:39:58.058
3.93,9.92,2.19,0.00,18:39:58.158
3.92,10.02,2.19,0.00,18:39:58.259
3.81,10.12,2.19,0.00,18:39:58.358
3.82,10.22,2.19,0.00,18:39:58.459
3.86,10.32,2.19,0.00,18:39:58.559
3.81,10.42,2.19,0.00,18:39:58.659
3.77,10.52,2.19,0.00,18:39:58.758
3.79,10.62,2.19,0.00,18:39:58.859
3.83,10.72,2.19,0.00,18:39:58.958
3.88,10.82,2.19,0.00,18:39:59.058
3.81,10.92,2.19,0.00,18:39:59.159
3.87,11.02,2.19,0.00,18:39:59.258
3.90,11.12,2.19,0.00,18:39:59.359
3.90,11.22,2.19,0.00,18:39:59.459
3.83,11.32,2.19,0.00,18:39:59.559
3.96,11.42,2.19,0.00,18:39:59.659
3.80,11.52,2.19,0.00,18:39:59.759
3.93,11.62,2.19,0.00,18:39:59.858
3.81,11.72,2.19,0.00,18:39:59.959
3.94,11.82,2.19,0.00,18:40:00.058
3.80,11.92,2.19,0.00,18:40:00.158
3.80,0.00,2.19,0.00,18:40:00.259
