Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:43:31.458
3.97,0.40,2.19,0.00,18:43:31.558
4.03,0.50,2.19,0.00,18:43:31.658
4.07,0.60,2.19,0.00,18:43:31.758
3.95,0.70,2.19,0.00,18:43:31.858
3.99,0.80,2.19,0.00,18:43:31.958
3.82,0.90,2.19,0.00,18:43:32.058
3.95,1.00,2.19,0.00,18:43:32.158
3.80,1.10,2.19,0.00,18:43:32.258
3.95,1.20,2.19,0.00,18:43:32.358
3.82,1.30,2.19,0.00,18:43:32.458
3.88,1.40,2.19,0.00,18:43:32.559
3.89,1.50,2.19,0.00,18:43:32.658
3.77,1.60,2.19,0.00,18:43:32.758
3.88,1.70,2.19,0.00,18:43:32.858
3.84,1.80,2.19,0.00,18:43:32.958
3.85,1.90,2.19,0.00,18:43:33.058
3.88,2.00,2.19,0.00,18:43:33.159
3.79,2.10,2.19,0.00,18:43:33.258
3.87,2.20,2.19,0.00,18:43:33.358
3.86,2.31,2.19,0.00,18:43:33.458
3.80,2.40,2.19,0.00,18:43:33.558
3.87,2.51,2.19,0.00,18:43:33.659
3.85,2.61,2.19,0.00,18:43:33.758
3.90,2.71,2.19,0.00,18:43:33.858
3.77,2.81,2.19,0.00,18:43:33.958
3.87,2.91,2.19,0.00,18:43:34.059
3.77,3.01,2.19,0.00,18:43:34.158
3.87,3.11,2.19,0.00,18:43:34.258
3.90,3.21,2.19,0.00,18:43:34.358
3.92,3.31,2.19,0.00,18:43:34.458
3.92,3.41,2.19,0.00,18:43:34.558
3.89,3.51,2.19,0.00,18:43:34.658
3.79,3.61,2.19,0.00,18:43:34.758
3.87,3.71,2.19,0.00,18:43:34.858
3.78,3.81,2.19,0.00,18:43:34.958
3.89,3.91,2.19,0.00,18:43:35.058
3.81,4.01,2.19,0.00,18:43:35.158
3.95,4.11,2.19,0.00,18:43:35.259
3.85,4.21,2.19,0.00,18:43:35.358
3.88,4.31,2.19,0.00,18:43:35.459
3.77,4.41,2.19,0.00,18:43:35.558
3.90,4.51,2.19,0.00,18:43:35.658
3.87,4.61,2.19,0.00,18:43:35.758
3.78,4.71,2.19,0.00,18:43:35.858
3.85,4.81,2.19,0.00,18:43:35.958
3.80,4.91,2.19,0.00,18:43:36.058
3.82,5.01,2.19,0.00,18:43:36.158
3.77,5.11,2.19,0.00,18:43:36.258
3.89,5.21,2.19,0.00,18:43:36.358
3.80,5.31,2.19,0.00,18:43:36.458
3.77,5.41,2.19,0.00,18:43:36.558
3.80,5.51,2.19,0.00,18:43:36.658
3.95,5.61,2.19,0.00,18:43:36.758
3.92,5.71,2.19,0.00,18:43:36.858
3.78,5.81,2.19,0.00,18:43:36.958
3.88,5.91,2.19,0.00,18:43:37.058
3.82,6.01,2.19,0.00,18:43:37.158
3.90,6.11,2.19,0.00,18:43:37.258
3.80,6.21,2.19,0.00,18:43:37.358
3.89,6.31,2.19,0.00,18:43:37.459
3.79,6.41,2.19,0.00,18:43:37.559
3.88,6.51,2.19,0.00,18:43:37.658
3.78,6.61,2.19,0.00,18:43:37.758
3.90,6.71,2.19,0.00,18:43:37.858
3.83,6.81,2.19,0.00,18:43:37.958
3.90,6.91,2.19,0.00,18:43:38.059
3.88,7.01,2.19,0.00,18:43:38.158
3.82,7.11,2.19,0.00,18:43:38.258
3.80,7.21,2.19,0.00,18:43:38.358
3.89,7.31,2.19,0.00,18:43:38.458
3.80,7.41,2.19,0.00,18:43:38.558
3.79,7.51,2.19,0.00,18:43:38.658
3.88,7.61,2.19,0.00,18:43:38.758
3.98,7.71,2.19,0.00,18:43:38.858
3.94,7.81,2.19,0.00,18:43:38.958
3.82,7.91,2.19,0.00,18:43:39.058
3.85,8.01,2.19,0.00,18:43:39.158
3.95,8.11,2.19,0.00,18:43:39.258
3.85,8.21,2.19,0.00,18:43:39.359
3.90,8.31,2.19,0.00,18:43:39.458
3.86,8.41,2.19,0.00,18:43:39.558
3.88,8.51,2.19,0.00,18:43:39.658
3.78,8.61,2.19,0.00,18:43:39.758
3.87,8.71,2.19,0.00,18:43:39.858
3.79,8.81,2.19,0.00,18:43:39.958
3.87,8.91,2.19,0.00,18:43:40.058
3.79,9.01,2.19,0.00,18:43:40.158
3.87,9.11,2.19,0.00,18:43:40.258
3.80,9.21,2.19,0.00,18:43:40.358
3.86,9.32,2.19,0.00,18:43:40.458
3.94,9.42,2.19,0.00,18:43:40.558
3.89,9.51,2.19,0.00,18:43:40.658
3.88,9.62,2.19,0.00,18:43:40.758
3.79,9.72,2.19,0.00,18:43:40.858
3.78,9.81,2.19,0.00,18:43:40.958
3.87,9.91,2.19,0.00,18:43:41.058
3.87,10.02,2.19,0.00,18:43:41.158
3.79,10.12,2.19,0.00,18:43:41.258
3.83,10.21,2.19,0.00,18:43:41.359
3.80,10.31,2.19,0.00,18:43:41.458
3.80,10.41,2.19,0.00,18:43:41.558
