Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:37:56.958
4.03,0.40,2.19,0.00,18:37:57.058
4.06,0.50,2.19,0.00,18:37:57.158
3.97,0.60,2.19,0.00,18:37:57.258
4.00,0.70,2.19,0.00,18:37:57.358
3.92,0.80,2.19,0.00,18:37:57.459
3.90,0.90,2.19,0.00,18:37:57.558
3.90,1.00,2.19,0.00,18:37:57.659
3.87,1.10,2.19,0.00,18:37:57.758
3.90,1.20,2.19,0.00,18:37:57.858
3.98,1.30,2.19,0.00,18:37:57.958
3.85,1.40,2.19,0.00,18:37:58.058
3.89,1.50,2.19,0.00,18:37:58.158
3.82,1.60,2.19,0.00,18:37:58.259
3.79,1.71,2.19,0.00,18:37:58.358
3.85,1.81,2.19,0.00,18:37:58.458
3.79,1.91,2.19,0.00,18:37:58.558
3.92,2.01,2.19,0.00,18:37:58.659
3.82,2.11,2.19,0.00,18:37:58.758
3.88,2.21,2.19,0.00,18:37:58.859
3.85,2.31,2.19,0.00,18:37:58.958
3.89,2.41,2.19,0.00,18:37:59.059
3.77,2.51,2.19,0.00,18:37:59.158
3.89,2.61,2.19,0.00,18:37:59.259
3.80,2.71,2.19,0.00,18:37:59.358
3.93,2.81,2.19,0.00,18:37:59.458
3.80,2.91,2.19,0.00,18:37:59.558
3.88,3.01,2.19,0.00,18:37:59.658
3.82,3.11,2.19,0.00,18:37:59.758
3.81,3.21,2.19,0.00,18:37:59.858
3.77,3.31,2.19,0.00,18:37:59.959
3.80,3.41,2.19,0.00,18:38:00.059
3.92,3.51,2.19,0.00,18:38:00.158
3.90,3.61,2.19,0.00,18:38:00.258
3.85,3.71,2.19,0.00,18:38:00.358
3.88,3.81,2.19,0.00,18:38:00.458
3.78,3.91,2.19,0.00,18:38:00.559
3.86,4.01,2.19,0.00,18:38:00.658
3.78,4.11,2.19,0.00,18:38:00.758
3.88,4.21,2.19,0.00,18:38:00.858
3.77,4.31,2.19,0.00,18:38:00.958
3.89,4.41,2.19,0.00,18:38:01.059
