Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.55,0.30,2.19,0.00,18:38:17.458
3.97,0.40,2.19,0.00,18:38:17.558
3.96,0.50,2.19,0.00,18:38:17.658
4.03,0.60,2.19,0.00,18:38:17.758
3.92,0.70,2.19,0.00,18:38:17.858
4.01,0.80,2.19,0.00,18:38:17.958
3.87,0.90,2.19,0.00,18:38:18.058
3.86,1.00,2.19,0.00,18:38:18.158
3.89,1.10,2.19,0.00,18:38:18.259
3.97,1.20,2.19,0.00,18:38:18.358
3.84,1.30,2.19,0.00,18:38:18.459
3.92,1.40,2.19,0.00,18:38:18.558
3.92,1.50,2.19,0.00,18:38:18.659
3.88,1.60,2.19,0.00,18:38:18.759
3.87,1.70,2.19,0.00,18:38:18.858
3.87,1.80,2.19,0.00,18:38:18.959
3.90,1.90,2.19,0.00,18:38:19.059
3.78,2.00,2.19,0.00,18:38:19.159
3.82,2.11,2.19,0.00,18:38:19.258
3.87,2.21,2.19,0.00,18:38:19.359
3.83,2.31,2.19,0.00,18:38:19.458
3.88,2.41,2.19,0.00,18:38:19.558
3.78,2.51,2.19,0.00,18:38:19.658
3.82,2.61,2.19,0.00,18:38:19.758
3.87,2.71,2.19,0.00,18:38:19.858
3.87,2.81,2.19,0.00,18:38:19.959
3.80,2.91,2.19,0.00,18:38:20.059
3.87,3.01,2.19,0.00,18:38:20.158
3.78,3.11,2.19,0.00,18:38:20.259
3.88,3.21,2.19,0.00,18:38:20.358
3.83,3.31,2.19,0.00,18:38:20.458
3.82,3.41,2.19,0.00,18:38:20.558
3.87,3.51,2.19,0.00,18:38:20.659
3.77,3.61,2.19,0.00,18:38:20.758
3.76,3.71,2.19,0.00,18:38:20.858
3.85,3.81,2.19,0.00,18:38:20.959
3.76,3.81,2.19,0.00,18:38:21.058
3.76,3.91,2.19,0.00,18:38:21.158
3.77,4.01,2.19,0.00,18:38:21.258
3.89,4.11,2.19,0.00,18:38:21.359
3.83,4.21,2.19,0.00,18:38:21.458
3.79,4.32,2.19,0.00,18:38:21.558
3.91,4.41,2.19,0.00,18:38:21.658
3.78,4.51,2.19,0.00,18:38:21.758
3.87,4.61,2.19,0.00,18:38:21.858
3.82,4.71,2.19,0.00,18:38:21.959
3.90,4.81,2.19,0.00,18:38:22.058
3.84,4.91,2.19,0.00,18:38:22.158
3.86,5.02,2.19,0.00,18:38:22.259
3.93,5.12,2.19,0.00,18:38:22.359
3.91,5.22,2.19,0.00,18:38:22.458
3.97,5.32,2.19,0.00,18:38:22.558
3.83,5.42,2.19,0.00,18:38:22.658
3.88,5.52,2.19,0.00,18:38:22.758
3.85,5.62,2.19,0.00,18:38:22.858
3.79,5.72,2.19,0.00,18:38:22.958
3.85,5.82,2.19,0.00,18:38:23.059
3.82,5.92,2.19,0.00,18:38:23.159
3.86,6.02,2.19,0.00,18:38:23.258
3.90,6.12,2.19,0.00,18:38:23.358
3.89,6.22,2.19,0.00,18:38:23.458
3.81,6.32,2.19,0.00,18:38:23.558
3.89,6.42,2.19,0.00,18:38:23.658
3.80,6.52,2.19,0.00,18:38:23.758
3.92,6.62,2.19,0.00,18:38:23.858
3.93,6.72,2.19,0.00,18:38:23.958
3.95,6.82,2.19,0.00,18:38:24.059
3.85,6.92,2.19,0.00,18:38:24.158
3.89,7.02,2.19,0.00,18:38:24.259
3.98,7.12,2.19,0.00,18:38:24.359
3.80,7.22,2.19,0.00,18:38:24.459
3.89,7.32,2.19,0.00,18:38:24.558
3.80,7.42,2.19,0.00,18:38:24.658
3.90,7.52,2.19,0.00,18:38:24.759
3.79,7.62,2.19,0.00,18:38:24.858
3.95,7.72,2.19,0.00,18:38:24.959
3.85,7.82,2.19,0.00,18:38:25.058
3.80,7.92,2.19,0.00,18:38:25.158
3.90,8.02,2.19,0.00,18:38:25.259
3.78,8.12,2.19,0.00,18:38:25.358
3.89,8.22,2.19,0.00,18:38:25.458
3.87,8.32,2.19,0.00,18:38:25.559
3.82,8.42,2.19,0.00,18:38:25.658
3.96,8.52,2.19,0.00,18:38:25.758
3.85,8.62,2.19,0.00,18:38:25.858
3.90,8.72,2.19,0.00,18:38:25.958
3.94,8.82,2.19,0.00,18:38:26.058
3.84,8.93,2.19,0.00,18:38:26.158
3.88,9.02,2.19,0.00,18:38:26.259
3.89,9.13,2.19,0.00,18:38:26.358
3.80,9.23,2.19,0.00,18:38:26.458
3.90,9.33,2.19,0.00,18:38:26.559
3.89,9.43,2.19,0.00,18:38:26.658
3.83,9.53,2.19,0.00,18:38:26.758
3.87,9.63,2.19,0.00,18:38:26.858
3.80,9.73,2.19,0.00,18:38:26.959
3.80,9.83,2.19,0.00,18:38:27.059
3.87,9.93,2.19,0.00,18:38:27.158
3.92,10.03,2.19,0.00,18:38:27.258
3.86,10.13,2.19,0.00,18:38:27.359
3.90,10.23,2.19,0.00,18:38:27.458
3.81,10.33,2.19,0.00,18:38:27.558
3.90,10.43,2.19,0.00,18:38:27.659
3.85,10.53,2.19,0.00,18:38:27.758
3.90,10.63,2.19,0.00,18:38:27.858
3.79,10.73,2.19,0.00,18:38:27.958
3.85,10.83,2.19,0.00,18:38:28.058
3.80,10.93,2.19,0.00,18:38:28.159
3.87,11.03,2.19,0.00,18:38:28.259
3.79,11.13,2.19,0.00,18:38:28.358
3.89,11.23,2.19,0.00,18:38:28.459
3.92,11.33,2.19,0.00,18:38:28.559
3.80,11.43,2.19,0.00,18:38:28.658
3.81,11.53,2.19,0.00,18:38:28.758
3.76,11.63,2.19,0.00,18:38:28.858
3.92,11.73,2.19,0.00,18:38:28.958
3.85,11.83,2.19,0.00,18:38:29.058
3.88,11.93,2.19,0.00,18:38:29.158
