Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.61,0.30,2.19,0.00,18:36:05.558
3.92,0.40,2.19,0.00,18:36:05.658
4.06,0.50,2.19,0.00,18:36:05.758
3.89,0.60,2.19,0.00,18:36:05.858
3.97,0.70,2.19,0.00,18:36:05.958
3.91,0.80,2.19,0.00,18:36:06.058
3.97,0.90,2.19,0.00,18:36:06.158
3.81,1.00,2.19,0.00,18:36:06.258
3.95,1.10,2.19,0.00,18:36:06.358
3.89,1.20,2.19,0.00,18:36:06.458
3.94,1.30,2.19,0.00,18:36:06.558
3.92,1.40,2.19,0.00,18:36:06.658
3.81,1.50,2.19,0.00,18:36:06.758
3.86,1.60,2.19,0.00,18:36:06.858
3.78,1.70,2.19,0.00,18:36:06.959
3.87,1.80,2.19,0.00,18:36:07.058
3.87,1.90,2.19,0.00,18:36:07.159
3.81,2.00,2.19,0.00,18:36:07.259
3.93,2.10,2.19,0.00,18:36:07.359
3.88,2.21,2.19,0.00,18:36:07.458
3.79,2.31,2.19,0.00,18:36:07.558
3.92,2.41,2.19,0.00,18:36:07.658
3.78,2.51,2.19,0.00,18:36:07.758
3.85,2.61,2.19,0.00,18:36:07.858
3.78,2.71,2.19,0.00,18:36:07.958
3.87,2.81,2.19,0.00,18:36:08.058
3.88,2.91,2.19,0.00,18:36:08.158
3.85,3.01,2.19,0.00,18:36:08.258
3.80,3.11,2.19,0.00,18:36:08.359
3.90,3.21,2.19,0.00,18:36:08.458
3.84,3.31,2.19,0.00,18:36:08.558
3.89,3.41,2.19,0.00,18:36:08.658
3.85,3.51,2.19,0.00,18:36:08.758
3.88,3.61,2.19,0.00,18:36:08.858
3.79,3.71,2.19,0.00,18:36:08.959
3.87,3.81,2.19,0.00,18:36:09.058
3.82,3.91,2.19,0.00,18:36:09.158
3.87,4.01,2.19,0.00,18:36:09.258
3.77,4.11,2.19,0.00,18:36:09.358
3.87,4.21,2.19,0.00,18:36:09.458
3.82,4.31,2.19,0.00,18:36:09.558
3.86,4.41,2.19,0.00,18:36:09.658
3.80,4.51,2.19,0.00,18:36:09.758
3.85,4.61,2.19,0.00,18:36:09.858
3.78,4.71,2.19,0.00,18:36:09.958
3.80,4.81,2.19,0.00,18:36:10.059
3.79,4.91,2.19,0.00,18:36:10.158
3.89,5.01,2.19,0.00,18:36:10.258
3.85,5.11,2.19,0.00,18:36:10.359
3.93,5.21,2.19,0.00,18:36:10.458
3.87,5.31,2.19,0.00,18:36:10.559
3.92,5.41,2.19,0.00,18:36:10.658
3.83,5.51,2.19,0.00,18:36:10.758
3.90,5.61,2.19,0.00,18:36:10.858
3.78,5.71,2.19,0.00,18:36:10.959
3.84,5.81,2.19,0.00,18:36:11.058
3.87,5.91,2.19,0.00,18:36:11.158
3.87,6.01,2.19,0.00,18:36:11.258
3.89,6.11,2.19,0.00,18:36:11.358
3.86,6.21,2.19,0.00,18:36:11.458
3.77,6.31,2.19,0.00,18:36:11.558
3.82,6.41,2.19,0.00,18:36:11.658
3.87,6.51,2.19,0.00,18:36:11.758
3.86,6.61,2.19,0.00,18:36:11.858
3.80,6.71,2.19,0.00,18:36:11.958
3.87,6.81,2.19,0.00,18:36:12.058
3.88,6.91,2.19,0.00,18:36:12.158
3.81,7.01,2.19,0.00,18:36:12.258
3.90,7.11,2.19,0.00,18:36:12.358
3.83,7.21,2.19,0.00,18:36:12.458
3.92,7.31,2.19,0.00,18:36:12.558
3.85,7.41,2.19,0.00,18:36:12.658
3.87,7.51,2.19,0.00,18:36:12.758
3.80,7.61,2.19,0.00,18:36:12.858
3.90,7.71,2.19,0.00,18:36:12.958
3.79,7.81,2.19,0.00,18:36:13.058
3.92,7.91,2.19,0.00,18:36:13.158
3.87,8.01,2.19,0.00,18:36:13.258
3.93,8.11,2.19,0.00,18:36:13.358
3.83,8.21,2.19,0.00,18:36:13.458
3.95,8.31,2.19,0.00,18:36:13.558
3.82,8.41,2.19,0.00,18:36:13.659
3.87,8.51,2.19,0.00,18:36:13.758
3.83,8.61,2.19,0.00,18:36:13.858
3.87,8.71,2.19,0.00,18:36:13.958
3.80,8.81,2.19,0.00,18:36:14.059
3.88,8.91,2.19,0.00,18:36:14.158
3.84,9.01,2.19,0.00,18:36:14.258
3.94,9.11,2.19,0.00,18:36:14.358
3.80,9.21,2.19,0.00,18:36:14.458
3.77,9.31,2.19,0.00,18:36:14.558
3.88,9.41,2.19,0.00,18:36:14.658
3.85,9.51,2.19,0.00,18:36:14.758
3.87,9.61,2.19,0.00,18:36:14.858
3.82,9.71,2.19,0.00,18:36:14.958
3.78,9.81,2.19,0.00,18:36:15.058
3.88,9.91,2.19,0.00,18:36:15.158
3.77,10.01,2.19,0.00,18:36:15.258
3.88,10.11,2.19,0.00,18:36:15.358
3.87,10.21,2.19,0.00,18:36:15.458
