Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.64,0.30,2.19,0.00,18:43:51.959
4.02,0.40,2.19,0.00,18:43:52.058
3.94,0.50,2.19,0.00,18:43:52.158
3.97,0.60,2.19,0.00,18:43:52.259
4.00,0.70,2.19,0.00,18:43:52.359
3.85,0.80,2.19,0.00,18:43:52.458
4.00,0.90,2.19,0.00,18:43:52.558
3.91,1.00,2.19,0.00,18:43:52.658
3.94,1.10,2.19,0.00,18:43:52.758
3.83,1.20,2.19,0.00,18:43:52.858
3.79,1.30,2.19,0.00,18:43:52.959
3.87,1.40,2.19,0.00,18:43:53.059
3.81,1.50,2.19,0.00,18:43:53.158
3.87,1.60,2.19,0.00,18:43:53.258
3.86,1.70,2.19,0.00,18:43:53.359
3.87,1.80,2.19,0.00,18:43:53.458
3.78,1.90,2.19,0.00,18:43:53.559
3.92,2.00,2.19,0.00,18:43:53.659
3.80,2.10,2.19,0.00,18:43:53.759
3.92,2.20,2.19,0.00,18:43:53.859
3.78,2.30,2.19,0.00,18:43:53.958
3.80,2.40,2.19,0.00,18:43:54.058
3.88,2.50,2.19,0.00,18:43:54.158
3.78,2.60,2.19,0.00,18:43:54.258
3.88,2.70,2.19,0.00,18:43:54.358
3.78,2.81,2.19,0.00,18:43:54.459
3.87,2.90,2.19,0.00,18:43:54.558
3.81,3.00,2.19,0.00,18:43:54.658
3.91,3.10,2.19,0.00,18:43:54.758
3.88,3.21,2.19,0.00,18:43:54.858
3.79,3.31,2.19,0.00,18:43:54.959
3.87,3.41,2.19,0.00,18:43:55.059
3.85,3.51,2.19,0.00,18:43:55.159
3.84,3.61,2.19,0.00,18:43:55.258
3.87,3.71,2.19,0.00,18:43:55.360
3.87,3.81,2.19,0.00,18:43:55.458
3.86,3.91,2.19,0.00,18:43:55.558
3.90,3.91,2.19,0.00,18:43:55.658
3.90,4.11,2.19,0.00,18:43:55.758
3.88,4.21,2.19,0.00,18:43:55.859
3.93,4.31,2.19,0.00,18:43:55.958
3.86,4.31,2.19,0.00,18:43:56.058
3.77,4.51,2.19,0.00,18:43:56.158
3.87,4.51,2.19,0.00,18:43:56.258
3.78,4.71,2.19,0.00,18:43:56.359
