Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.67,0.30,2.19,0.00,18:40:08.959
3.97,0.40,2.19,0.00,18:40:09.058
4.07,0.50,2.19,0.00,18:40:09.158
3.99,0.60,2.19,0.00,18:40:09.258
4.02,0.70,2.19,0.00,18:40:09.358
3.93,0.80,2.19,0.00,18:40:09.458
3.92,0.90,2.19,0.00,18:40:09.558
3.97,1.00,2.19,0.00,18:40:09.658
3.87,1.10,2.19,0.00,18:40:09.758
3.97,1.20,2.19,0.00,18:40:09.858
3.81,1.30,2.19,0.00,18:40:09.959
3.79,1.40,2.19,0.00,18:40:10.058
3.84,1.50,2.19,0.00,18:40:10.158
3.81,1.60,2.19,0.00,18:40:10.258
3.88,1.70,2.19,0.00,18:40:10.358
3.78,1.80,2.19,0.00,18:40:10.458
3.90,1.90,2.19,0.00,18:40:10.558
3.81,2.00,2.19,0.00,18:40:10.658
3.85,2.10,2.19,0.00,18:40:10.758
3.80,2.20,2.19,0.00,18:40:10.859
3.91,2.30,2.19,0.00,18:40:10.959
3.80,2.40,2.19,0.00,18:40:11.058
3.88,2.50,2.19,0.00,18:40:11.158
3.77,2.60,2.19,0.00,18:40:11.259
3.86,2.70,2.19,0.00,18:40:11.358
3.85,2.80,2.19,0.00,18:40:11.458
3.87,2.90,2.19,0.00,18:40:11.558
3.88,3.01,2.19,0.00,18:40:11.658
3.84,3.11,2.19,0.00,18:40:11.758
3.89,3.21,2.19,0.00,18:40:11.858
3.80,3.31,2.19,0.00,18:40:11.959
3.90,3.41,2.19,0.00,18:40:12.058
3.87,3.51,2.19,0.00,18:40:12.158
3.79,3.61,2.19,0.00,18:40:12.258
3.88,3.71,2.19,0.00,18:40:12.358
3.85,3.81,2.19,0.00,18:40:12.459
3.77,3.91,2.19,0.00,18:40:12.559
3.87,4.01,2.19,0.00,18:40:12.659
3.79,4.11,2.19,0.00,18:40:12.758
3.76,4.21,2.19,0.00,18:40:12.858
3.79,4.31,2.19,0.00,18:40:12.958
3.84,4.41,2.19,0.00,18:40:13.058
3.79,4.51,2.19,0.00,18:40:13.159
3.85,4.61,2.19,0.00,18:40:13.258
3.79,4.71,2.19,0.00,18:40:13.358
3.83,4.81,2.19,0.00,18:40:13.458
3.94,4.91,2.19,0.00,18:40:13.559
3.84,5.01,2.19,0.00,18:40:13.658
3.90,5.11,2.19,0.00,18:40:13.759
3.83,5.21,2.19,0.00,18:40:13.858
3.90,5.31,2.19,0.00,18:40:13.959
3.80,5.41,2.19,0.00,18:40:14.059
3.88,5.51,2.19,0.00,18:40:14.158
3.82,5.61,2.19,0.00,18:40:14.258
3.95,5.71,2.19,0.00,18:40:14.359
3.89,5.81,2.19,0.00,18:40:14.458
3.95,5.91,2.19,0.00,18:40:14.558
3.83,6.01,2.19,0.00,18:40:14.658
3.90,6.11,2.19,0.00,18:40:14.758
3.82,6.21,2.19,0.00,18:40:14.858
3.87,6.31,2.19,0.00,18:40:14.958
3.77,6.41,2.19,0.00,18:40:15.058
3.93,6.51,2.19,0.00,18:40:15.158
3.80,6.61,2.19,0.00,18:40:15.258
3.92,6.71,2.19,0.00,18:40:15.358
3.86,6.81,2.19,0.00,18:40:15.458
3.80,6.91,2.19,0.00,18:40:15.559
3.88,7.01,2.19,0.00,18:40:15.659
3.85,7.11,2.19,0.00,18:40:15.759
3.78,7.21,2.19,0.00,18:40:15.858
3.90,7.31,2.19,0.00,18:40:15.958
3.86,7.41,2.19,0.00,18:40:16.059
3.79,7.51,2.19,0.00,18:40:16.159
3.75,7.62,2.19,0.00,18:40:16.258
3.77,7.71,2.19,0.00,18:40:16.359
