Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.62,0.30,2.19,0.00,18:34:13.958
3.90,0.40,2.19,0.00,18:34:14.058
4.03,0.50,2.19,0.00,18:34:14.158
4.01,0.60,2.19,0.00,18:34:14.258
3.93,0.70,2.19,0.00,18:34:14.358
3.94,0.80,2.19,0.00,18:34:14.458
3.97,0.90,2.19,0.00,18:34:14.558
3.88,1.00,2.19,0.00,18:34:14.658
4.00,1.10,2.19,0.00,18:34:14.758
3.95,1.20,2.19,0.00,18:34:14.858
3.85,1.30,2.19,0.00,18:34:14.959
3.83,1.40,2.19,0.00,18:34:15.058
3.87,1.50,2.19,0.00,18:34:15.158
3.78,1.60,2.19,0.00,18:34:15.258
3.85,1.70,2.19,0.00,18:34:15.358
3.82,1.80,2.19,0.00,18:34:15.458
3.85,1.90,2.19,0.00,18:34:15.558
3.79,2.00,2.19,0.00,18:34:15.659
3.89,2.10,2.19,0.00,18:34:15.758
3.85,2.20,2.19,0.00,18:34:15.859
3.86,2.30,2.19,0.00,18:34:15.958
3.73,2.40,2.19,0.00,18:34:16.058
3.73,2.50,2.19,0.00,18:34:16.158
3.80,2.60,2.19,0.00,18:34:16.258
3.85,2.70,2.19,0.00,18:34:16.358
3.81,2.80,2.19,0.00,18:34:16.458
3.85,2.90,2.19,0.00,18:34:16.558
3.78,3.00,2.19,0.00,18:34:16.658
3.90,3.10,2.19,0.00,18:34:16.758
3.77,3.20,2.19,0.00,18:34:16.858
3.85,3.30,2.19,0.00,18:34:16.958
3.78,3.40,2.19,0.00,18:34:17.058
3.87,3.50,2.19,0.00,18:34:17.158
3.79,3.60,2.19,0.00,18:34:17.259
3.88,3.70,2.19,0.00,18:34:17.359
3.77,3.80,2.19,0.00,18:34:17.458
3.88,3.90,2.19,0.00,18:34:17.558
3.88,4.01,2.19,0.00,18:34:17.658
3.78,4.11,2.19,0.00,18:34:17.758
3.93,4.21,2.19,0.00,18:34:17.858
3.79,4.31,2.19,0.00,18:34:17.959
3.94,4.41,2.19,0.00,18:34:18.058
3.82,4.51,2.19,0.00,18:34:18.158
3.86,4.61,2.19,0.00,18:34:18.259
3.81,4.71,2.19,0.00,18:34:18.358
3.86,4.81,2.19,0.00,18:34:18.459
3.78,4.91,2.19,0.00,18:34:18.558
3.86,5.01,2.19,0.00,18:34:18.658
3.80,5.11,2.19,0.00,18:34:18.758
3.91,5.21,2.19,0.00,18:34:18.858
3.77,5.31,2.19,0.00,18:34:18.958
3.90,5.41,2.19,0.00,18:34:19.058
3.80,5.51,2.19,0.00,18:34:19.158
3.89,5.61,2.19,0.00,18:34:19.258
3.80,5.71,2.19,0.00,18:34:19.358
3.86,5.81,2.19,0.00,18:34:19.458
3.80,5.91,2.19,0.00,18:34:19.558
3.87,6.01,2.19,0.00,18:34:19.658
3.83,6.11,2.19,0.00,18:34:19.758
3.96,6.21,2.19,0.00,18:34:19.859
3.93,6.31,2.19,0.00,18:34:19.958
3.84,6.41,2.19,0.00,18:34:20.058
3.89,6.51,2.19,0.00,18:34:20.158
3.88,6.61,2.19,0.00,18:34:20.258
3.81,6.71,2.19,0.00,18:34:20.359
3.85,6.81,2.19,0.00,18:34:20.458
3.81,6.91,2.19,0.00,18:34:20.558
3.90,7.01,2.19,0.00,18:34:20.658
3.78,7.11,2.19,0.00,18:34:20.758
3.89,7.21,2.19,0.00,18:34:20.858
3.76,7.31,2.19,0.00,18:34:20.958
3.88,7.41,2.19,0.00,18:34:21.058
3.80,7.51,2.19,0.00,18:34:21.158
3.80,7.61,2.19,0.00,18:34:21.258
3.81,7.71,2.19,0.00,18:34:21.358
3.88,7.81,2.19,0.00,18:34:21.458
3.80,7.91,2.19,0.00,18:34:21.558
3.85,8.01,2.19,0.00,18:34:21.658
3.83,8.11,2.19,0.00,18:34:21.758
3.73,8.21,2.19,0.00,18:34:21.859
3.80,8.31,2.19,0.00,18:34:21.958
3.89,8.41,2.19,0.00,18:34:22.058
3.87,8.51,2.19,0.00,18:34:22.158
3.88,8.61,2.19,0.00,18:34:22.258
3.80,8.71,2.19,0.00,18:34:22.358
3.90,8.81,2.19,0.00,18:34:22.459
3.79,8.91,2.19,0.00,18:34:22.558
3.85,9.01,2.19,0.00,18:34:22.658
3.87,9.11,2.19,0.00,18:34:22.758
3.85,9.21,2.19,0.00,18:34:22.858
3.92,9.31,2.19,0.00,18:34:22.958
3.92,9.41,2.19,0.00,18:34:23.058
3.83,9.51,2.19,0.00,18:34:23.158
3.83,9.61,2.19,0.00,18:34:23.259
3.97,9.71,2.19,0.00,18:34:23.358
3.81,9.81,2.19,0.00,18:34:23.459
3.88,9.91,2.19,0.00,18:34:23.559
3.77,10.01,2.19,0.00,18:34:23.658
3.81,10.11,2.19,0.00,18:34:23.758
3.86,10.22,2.19,0.00,18:34:23.858
3.83,10.31,2.19,0.00,18:34:23.958
3.90,10.41,2.19,0.00,18:34:24.058
3.81,10.51,2.19,0.00,18:34:24.159
3.91,10.62,2.19,0.00,18:34:24.259
3.80,10.71,2.19,0.00,18:34:24.358
3.81,10.82,2.19,0.00,18:34:24.459
3.90,10.92,2.19,0.00,18:34:24.558
3.78,11.02,2.19,0.00,18:34:24.658
3.93,11.12,2.19,0.00,18:34:24.758
3.79,11.22,2.19,0.00,18:34:24.859
3.89,11.32,2.19,0.00,18:34:24.958
3.82,11.42,2.19,0.00,18:34:25.058
3.87,11.52,2.19,0.00,18:34:25.158
3.79,11.62,2.19,0.00,18:34:25.258
3.90,11.72,2.19,0.00,18:34:25.358
3.85,11.82,2.19,0.00,18:34:25.458
3.94,11.92,2.19,0.00,18:34:25.558
3.87,12.02,2.19,0.00,18:34:25.658
3.87,0.00,2.19,0.00,18:34:25.758
