Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.69,0.30,2.19,0.00,18:39:17.958
3.97,0.40,2.19,0.00,18:39:18.058
4.07,0.50,2.19,0.00,18:39:18.158
4.00,0.60,2.19,0.00,18:39:18.258
3.92,0.70,2.19,0.00,18:39:18.358
3.98,0.80,2.19,0.00,18:39:18.458
3.90,0.90,2.19,0.00,18:39:18.558
3.90,1.00,2.19,0.00,18:39:18.658
3.97,1.10,2.19,0.00,18:39:18.759
3.87,1.20,2.19,0.00,18:39:18.859
3.92,1.30,2.19,0.00,18:39:18.959
3.77,1.40,2.19,0.00,18:39:19.058
3.88,1.50,2.19,0.00,18:39:19.158
3.86,1.60,2.19,0.00,18:39:19.258
3.86,1.70,2.19,0.00,18:39:19.358
3.83,1.80,2.19,0.00,18:39:19.458
3.83,1.90,2.19,0.00,18:39:19.558
3.85,2.00,2.19,0.00,18:39:19.659
3.86,2.10,2.19,0.00,18:39:19.758
3.90,2.21,2.19,0.00,18:39:19.858
3.88,2.30,2.19,0.00,18:39:19.958
3.89,2.40,2.19,0.00,18:39:20.058
3.92,2.50,2.19,0.00,18:39:20.159
3.89,2.61,2.19,0.00,18:39:20.258
3.77,2.71,2.19,0.00,18:39:20.358
3.81,2.81,2.19,0.00,18:39:20.459
3.88,2.91,2.19,0.00,18:39:20.559
3.79,3.01,2.19,0.00,18:39:20.659
3.89,3.11,2.19,0.00,18:39:20.758
3.78,3.21,2.19,0.00,18:39:20.858
3.87,3.31,2.19,0.00,18:39:20.959
3.79,3.41,2.19,0.00,18:39:21.058
3.79,3.51,2.19,0.00,18:39:21.158
3.88,3.61,2.19,0.00,18:39:21.258
3.82,3.71,2.19,0.00,18:39:21.359
3.93,3.81,2.19,0.00,18:39:21.458
3.80,3.91,2.19,0.00,18:39:21.558
3.84,4.01,2.19,0.00,18:39:21.658
3.95,4.11,2.19,0.00,18:39:21.758
3.81,4.21,2.19,0.00,18:39:21.858
3.89,4.31,2.19,0.00,18:39:21.958
3.83,4.41,2.19,0.00,18:39:22.058
3.87,4.51,2.19,0.00,18:39:22.159
3.80,4.61,2.19,0.00,18:39:22.258
3.82,4.71,2.19,0.00,18:39:22.358
3.83,4.81,2.19,0.00,18:39:22.459
3.95,4.91,2.19,0.00,18:39:22.558
3.82,5.01,2.19,0.00,18:39:22.658
3.91,5.11,2.19,0.00,18:39:22.758
3.77,5.21,2.19,0.00,18:39:22.858
3.73,5.31,2.19,0.00,18:39:22.958
3.81,5.41,2.19,0.00,18:39:23.058
3.73,5.51,2.19,0.00,18:39:23.158
3.88,5.61,2.19,0.00,18:39:23.258
3.77,5.71,2.19,0.00,18:39:23.358
3.89,5.81,2.19,0.00,18:39:23.458
3.86,5.91,2.19,0.00,18:39:23.558
3.90,6.01,2.19,0.00,18:39:23.658
3.80,6.11,2.19,0.00,18:39:23.758
3.92,6.21,2.19,0.00,18:39:23.858
3.86,6.31,2.19,0.00,18:39:23.959
3.92,6.41,2.19,0.00,18:39:24.058
3.78,6.51,2.19,0.00,18:39:24.158
3.88,6.61,2.19,0.00,18:39:24.258
3.77,6.71,2.19,0.00,18:39:24.358
3.78,6.81,2.19,0.00,18:39:24.458
3.91,6.91,2.19,0.00,18:39:24.558
3.77,7.01,2.19,0.00,18:39:24.658
3.88,7.11,2.19,0.00,18:39:24.758
3.80,7.21,2.19,0.00,18:39:24.858
3.96,7.31,2.19,0.00,18:39:24.958
3.82,7.41,2.19,0.00,18:39:25.058
3.87,7.51,2.19,0.00,18:39:25.158
3.93,7.61,2.19,0.00,18:39:25.258
3.87,7.71,2.19,0.00,18:39:25.358
3.90,7.81,2.19,0.00,18:39:25.458
3.90,7.91,2.19,0.00,18:39:25.558
3.90,8.01,2.19,0.00,18:39:25.658
3.83,8.11,2.19,0.00,18:39:25.758
3.88,8.21,2.19,0.00,18:39:25.858
3.80,8.31,2.19,0.00,18:39:25.959
3.87,8.41,2.19,0.00,18:39:26.058
3.82,8.51,2.19,0.00,18:39:26.158
3.81,8.62,2.19,0.00,18:39:26.258
3.87,8.72,2.19,0.00,18:39:26.358
3.82,8.82,2.19,0.00,18:39:26.458
3.97,8.92,2.19,0.00,18:39:26.558
3.85,9.02,2.19,0.00,18:39:26.658
3.92,9.12,2.19,0.00,18:39:26.758
3.78,9.22,2.19,0.00,18:39:26.858
3.95,9.32,2.19,0.00,18:39:26.958
3.77,9.42,2.19,0.00,18:39:27.058
3.95,9.52,2.19,0.00,18:39:27.158
3.87,9.62,2.19,0.00,18:39:27.258
3.97,9.72,2.19,0.00,18:39:27.359
3.90,9.82,2.19,0.00,18:39:27.458
3.91,9.92,2.19,0.00,18:39:27.558
3.88,10.02,2.19,0.00,18:39:27.658
3.78,10.12,2.19,0.00,18:39:27.758
3.88,10.22,2.19,0.00,18:39:27.858
3.80,10.32,2.19,0.00,18:39:27.958
3.87,10.42,2.19,0.00,18:39:28.058
3.77,10.52,2.19,0.00,18:39:28.158
3.89,10.62,2.19,0.00,18:39:28.258
3.92,10.72,2.19,0.00,18:39:28.358
3.85,10.82,2.19,0.00,18:39:28.459
3.85,10.92,2.19,0.00,18:39:28.558
3.76,11.02,2.19,0.00,18:39:28.658
3.85,11.12,2.19,0.00,18:39:28.758
3.80,11.22,2.19,0.00,18:39:28.858
3.88,11.32,2.19,0.00,18:39:28.958
3.83,11.42,2.19,0.00,18:39:29.059
3.97,11.52,2.19,0.00,18:39:29.158
3.84,11.62,2.19,0.00,18:39:29.259
3.89,11.72,2.19,0.00,18:39:29.359
3.86,11.82,2.19,0.00,18:39:29.458
3.78,11.92,2.19,0.00,18:39:29.558
3.88,12.02,2.19,0.00,18:39:29.658
3.81,12.12,2.19,0.00,18:39:29.758
3.91,12.22,2.19,0.00,18:39:29.858
3.79,12.32,2.19,0.00,18:39:29.958
3.91,12.42,2.19,0.00,18:39:30.058
3.79,12.52,2.19,0.00,18:39:30.158
3.88,12.62,2.19,0.00,18:39:30.258
3.76,12.72,2.19,0.00,18:39:30.358
3.93,12.82,2.19,0.00,18:39:30.458
3.82,12.92,2.19,0.00,18:39:30.558
3.88,13.02,2.19,0.00,18:39:30.658
3.80,13.12,2.19,0.00,18:39:30.758
3.87,13.22,2.19,0.00,18:39:30.859
3.80,13.32,2.19,0.00,18:39:30.958
3.87,13.42,2.19,0.00,18:39:31.058
3.80,13.52,2.19,0.00,18:39:31.158
3.85,13.62,2.19,0.00,18:39:31.258
3.82,13.72,2.19,0.00,18:39:31.358
3.91,13.82,2.19,0.00,18:39:31.458
3.82,13.92,2.19,0.00,18:39:31.558
3.88,14.02,2.19,0.00,18:39:31.658
3.78,14.12,2.19,0.00,18:39:31.758
3.74,14.22,2.19,0.00,18:39:31.858
3.85,14.32,2.19,0.00,18:39:31.958
3.81,14.42,2.19,0.00,18:39:32.058
3.87,14.52,2.19,0.00,18:39:32.158
3.92,14.62,2.19,0.00,18:39:32.258
3.86,14.72,2.19,0.00,18:39:32.358
3.88,14.82,2.19,0.00,18:39:32.459
3.88,14.92,2.19,0.00,18:39:32.558
3.93,15.02,2.19,0.00,18:39:32.658
3.84,15.12,2.19,0.00,18:39:32.758
3.88,15.22,2.19,0.00,18:39:32.858
3.88,15.33,2.19,0.00,18:39:32.958
3.81,15.43,2.19,0.00,18:39:33.058
3.92,15.53,2.19,0.00,18:39:33.158
3.78,15.62,2.19,0.00,18:39:33.258
3.92,15.73,2.19,0.00,18:39:33.358
3.87,15.82,2.19,0.00,18:39:33.458
3.88,15.92,2.19,0.00,18:39:33.558
3.79,16.03,2.19,0.00,18:39:33.658
3.81,16.13,2.19,0.00,18:39:33.759
3.95,16.23,2.19,0.00,18:39:33.858
3.85,16.33,2.19,0.00,18:39:33.959
3.95,16.43,2.19,0.00,18:39:34.058
3.80,16.53,2.19,0.00,18:39:34.158
3.88,16.63,2.19,0.00,18:39:34.259
3.79,16.73,2.19,0.00,18:39:34.358
3.86,16.83,2.19,0.00,18:39:34.458
3.89,16.93,2.19,0.00,18:39:34.558
3.81,17.03,2.19,0.00,18:39:34.659
3.87,17.13,2.19,0.00,18:39:34.758
3.91,17.23,2.19,0.00,18:39:34.859
3.83,17.33,2.19,0.00,18:39:34.958
3.85,17.43,2.19,0.00,18:39:35.058
3.80,17.53,2.19,0.00,18:39:35.158
3.88,17.63,2.19,0.00,18:39:35.258
3.77,17.73,2.19,0.00,18:39:35.358
3.82,17.83,2.19,0.00,18:39:35.458
3.87,17.93,2.19,0.00,18:39:35.558
3.87,18.03,2.19,0.00,18:39:35.659
3.84,18.13,2.19,0.00,18:39:35.758
3.80,18.13,2.19,0.00,18:39:35.858
3.88,18.23,2.19,0.00,18:39:35.958
3.80,18.33,2.19,0.00,18:39:36.058
3.80,18.43,2.19,0.00,18:39:36.158
3.92,18.63,2.19,0.00,18:39:36.259
3.85,18.73,2.19,0.00,18:39:36.359
3.91,18.83,2.19,0.00,18:39:36.459
3.85,18.83,2.19,0.00,18:39:36.558
3.85,18.93,2.19,0.00,18:39:36.658
3.94,19.03,2.19,0.00,18:39:36.758
3.80,19.13,2.19,0.00,18:39:36.858
3.90,19.23,2.19,0.00,18:39:36.958
3.86,19.33,2.19,0.00,18:39:37.060
3.78,19.44,2.19,0.00,18:39:37.158
3.80,19.54,2.19,0.00,18:39:37.259
3.88,19.64,2.19,0.00,18:39:37.359
3.79,19.74,2.19,0.00,18:39:37.458
3.88,19.84,2.19,0.00,18:39:37.559
3.84,19.94,2.19,0.00,18:39:37.658
3.81,20.04,2.19,0.00,18:39:37.758
3.88,20.14,2.19,0.00,18:39:37.858
3.83,20.24,2.19,0.00,18:39:37.958
3.93,20.34,2.19,0.00,18:39:38.058
3.85,20.44,2.19,0.00,18:39:38.158
3.92,20.54,2.19,0.00,18:39:38.259
3.92,20.64,2.19,0.00,18:39:38.358
3.83,20.74,2.19,0.00,18:39:38.458
3.90,20.84,2.19,0.00,18:39:38.558
3.80,20.94,2.19,0.00,18:39:38.658
3.91,21.04,2.19,0.00,18:39:38.758
3.85,21.14,2.19,0.00,18:39:38.858
3.88,21.24,2.19,0.00,18:39:38.958
3.89,21.34,2.19,0.00,18:39:39.058
3.79,21.44,2.19,0.00,18:39:39.158
3.82,21.54,2.19,0.00,18:39:39.258
3.93,21.64,2.19,0.00,18:39:39.358
3.85,21.74,2.19,0.00,18:39:39.460
3.91,21.84,2.19,0.00,18:39:39.558
3.85,21.94,2.19,0.00,18:39:39.659
3.88,22.04,2.19,0.00,18:39:39.759
3.88,0.00,2.19,0.00,18:39:39.858
