Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
4.29,0.30,2.19,0.00,18:06:58.458
4.94,0.40,2.19,0.00,18:06:58.558
5.13,0.50,2.19,0.00,18:06:58.659
5.13,0.60,2.19,0.00,18:06:58.758
5.05,0.70,2.19,0.00,18:06:58.858
5.06,0.80,2.19,0.00,18:06:58.959
5.07,0.90,2.19,0.00,18:06:59.058
5.06,1.00,2.19,0.00,18:06:59.159
5.10,1.10,2.19,0.00,18:06:59.259
5.15,1.20,2.19,0.00,18:06:59.359
5.06,1.30,2.19,0.00,18:06:59.458
5.13,1.40,2.19,0.00,18:06:59.558
5.10,1.50,2.19,0.00,18:06:59.658
5.12,1.60,2.19,0.00,18:06:59.758
5.04,1.70,2.19,0.00,18:06:59.859
4.99,1.80,2.19,0.00,18:06:59.959
5.04,1.90,2.19,0.00,18:07:00.059
4.91,2.00,2.19,0.00,18:07:00.159
4.96,2.10,2.19,0.00,18:07:00.258
4.89,2.21,2.19,0.00,18:07:00.359
4.80,2.31,2.19,0.00,18:07:00.459
4.74,2.40,2.19,0.00,18:07:00.560
4.80,2.51,2.19,0.00,18:07:00.659
4.84,2.60,2.19,0.00,18:07:00.759
4.77,2.71,2.19,0.00,18:07:00.859
4.84,2.80,2.19,0.00,18:07:00.959
4.79,2.91,2.19,0.00,18:07:01.058
4.82,3.01,2.19,0.00,18:07:01.158
4.78,3.11,2.19,0.00,18:07:01.259
4.84,3.21,2.19,0.00,18:07:01.360
4.77,3.31,2.19,0.00,18:07:01.459
4.77,3.41,2.19,0.00,18:07:01.558
4.85,3.51,2.19,0.00,18:07:01.659
4.88,3.61,2.19,0.00,18:07:01.758
4.77,3.71,2.19,0.00,18:07:01.858
2.76,3.81,2.19,0.00,18:07:01.959
0.62,3.91,2.19,0.00,18:07:02.058
0.59,4.01,2.19,0.00,18:07:02.159
0.67,4.11,2.19,0.00,18:07:02.258
0.93,4.21,2.19,0.00,18:07:02.358
1.91,4.31,2.19,0.00,18:07:02.458
1.81,4.41,2.19,0.00,18:07:02.558
1.64,4.51,2.19,0.00,18:07:02.658
1.52,4.61,2.19,0.00,18:07:02.758
1.41,4.71,2.19,0.00,18:07:02.858
1.34,4.81,2.19,0.00,18:07:02.959
1.27,4.91,2.19,0.00,18:07:03.058
1.20,5.01,2.19,0.00,18:07:03.159
1.17,5.11,2.19,0.00,18:07:03.258
1.11,5.21,2.19,0.00,18:07:03.358
1.11,5.31,2.19,0.00,18:07:03.458
1.08,5.41,2.19,0.00,18:07:03.559
1.04,5.51,2.19,0.00,18:07:03.658
1.03,5.61,2.19,0.00,18:07:03.759
1.00,5.71,2.19,0.00,18:07:03.858
1.00,5.81,2.19,0.00,18:07:03.958
0.99,5.91,2.19,0.00,18:07:04.059
1.00,6.01,2.19,0.00,18:07:04.159
0.99,6.11,2.19,0.00,18:07:04.259
0.99,6.21,2.19,0.00,18:07:04.359
0.97,6.31,2.19,0.00,18:07:04.459
0.98,6.41,2.19,0.00,18:07:04.559
0.97,6.51,2.19,0.00,18:07:04.658
0.96,6.61,2.19,0.00,18:07:04.759
0.95,6.71,2.19,0.00,18:07:04.859
0.93,6.81,2.19,0.00,18:07:04.959
0.93,6.91,2.19,0.00,18:07:05.058
0.95,7.01,2.19,0.00,18:07:05.159
0.96,7.11,2.19,0.00,18:07:05.259
0.92,7.21,2.19,0.00,18:07:05.358
0.94,7.31,2.19,0.00,18:07:05.459
0.92,7.41,2.19,0.00,18:07:05.558
0.93,7.51,2.19,0.00,18:07:05.659
0.92,7.61,2.19,0.00,18:07:05.758
0.94,7.71,2.19,0.00,18:07:05.859
0.93,7.81,2.19,0.00,18:07:05.958
0.91,7.91,2.19,0.00,18:07:06.059
0.91,8.01,2.19,0.00,18:07:06.159
0.94,8.11,2.19,0.00,18:07:06.258
0.90,8.22,2.19,0.00,18:07:06.358
0.92,8.31,2.19,0.00,18:07:06.459
0.91,8.42,2.19,0.00,18:07:06.558
0.93,8.51,2.19,0.00,18:07:06.659
0.91,8.61,2.19,0.00,18:07:06.758
0.91,8.72,2.19,0.00,18:07:06.858
0.93,8.82,2.19,0.00,18:07:06.958
0.92,8.91,2.19,0.00,18:07:07.059
0.91,9.01,2.19,0.00,18:07:07.158
0.93,9.12,2.19,0.00,18:07:07.258
0.91,9.22,2.19,0.00,18:07:07.358
0.93,9.32,2.19,0.00,18:07:07.459
0.91,9.42,2.19,0.00,18:07:07.559
0.91,9.52,2.19,0.00,18:07:07.659
0.93,9.62,2.19,0.00,18:07:07.759
0.91,9.72,2.19,0.00,18:07:07.859
0.90,9.82,2.19,0.00,18:07:07.959
0.93,9.92,2.19,0.00,18:07:08.059
0.93,0.00,2.19,0.00,18:07:08.159
