Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.53,0.30,2.19,0.00,18:34:34.458
3.99,0.40,2.19,0.00,18:34:34.558
3.96,0.50,2.19,0.00,18:34:34.658
4.04,0.60,2.19,0.00,18:34:34.758
3.93,0.70,2.19,0.00,18:34:34.859
3.86,0.80,2.19,0.00,18:34:34.958
3.93,0.90,2.19,0.00,18:34:35.059
3.88,1.00,2.19,0.00,18:34:35.158
3.88,1.10,2.19,0.00,18:34:35.258
3.85,1.20,2.19,0.00,18:34:35.358
3.94,1.30,2.19,0.00,18:34:35.458
3.82,1.40,2.19,0.00,18:34:35.558
3.88,1.50,2.19,0.00,18:34:35.658
3.79,1.60,2.19,0.00,18:34:35.758
3.92,1.70,2.19,0.00,18:34:35.858
3.80,1.80,2.19,0.00,18:34:35.958
3.90,1.90,2.19,0.00,18:34:36.059
3.81,2.00,2.19,0.00,18:34:36.159
3.83,2.10,2.19,0.00,18:34:36.258
3.88,2.20,2.19,0.00,18:34:36.358
3.78,2.30,2.19,0.00,18:34:36.458
3.90,2.40,2.19,0.00,18:34:36.558
3.85,2.50,2.19,0.00,18:34:36.659
3.78,2.61,2.19,0.00,18:34:36.758
3.88,2.71,2.19,0.00,18:34:36.858
3.86,2.81,2.19,0.00,18:34:36.958
3.79,2.91,2.19,0.00,18:34:37.059
3.86,3.01,2.19,0.00,18:34:37.158
3.87,3.11,2.19,0.00,18:34:37.258
3.78,3.21,2.19,0.00,18:34:37.358
3.91,3.31,2.19,0.00,18:34:37.459
3.77,3.41,2.19,0.00,18:34:37.558
3.90,3.51,2.19,0.00,18:34:37.659
3.85,3.61,2.19,0.00,18:34:37.758
3.78,3.71,2.19,0.00,18:34:37.858
3.90,3.81,2.19,0.00,18:34:37.958
3.86,3.91,2.19,0.00,18:34:38.058
3.92,4.01,2.19,0.00,18:34:38.158
3.83,4.11,2.19,0.00,18:34:38.258
3.87,4.21,2.19,0.00,18:34:38.358
3.83,4.31,2.19,0.00,18:34:38.459
3.86,4.41,2.19,0.00,18:34:38.559
3.82,4.51,2.19,0.00,18:34:38.658
3.87,4.61,2.19,0.00,18:34:38.759
3.78,4.71,2.19,0.00,18:34:38.858
3.83,4.81,2.19,0.00,18:34:38.958
3.80,4.91,2.19,0.00,18:34:39.058
3.80,5.01,2.19,0.00,18:34:39.158
3.82,5.11,2.19,0.00,18:34:39.258
3.84,5.21,2.19,0.00,18:34:39.358
3.95,5.31,2.19,0.00,18:34:39.458
3.86,5.41,2.19,0.00,18:34:39.559
3.93,5.51,2.19,0.00,18:34:39.658
3.79,5.61,2.19,0.00,18:34:39.759
3.89,5.71,2.19,0.00,18:34:39.858
3.77,5.81,2.19,0.00,18:34:39.958
3.97,5.91,2.19,0.00,18:34:40.058
3.81,6.01,2.19,0.00,18:34:40.158
3.87,6.11,2.19,0.00,18:34:40.258
3.78,6.21,2.19,0.00,18:34:40.359
3.84,6.31,2.19,0.00,18:34:40.458
3.85,6.41,2.19,0.00,18:34:40.558
3.90,6.51,2.19,0.00,18:34:40.658
3.82,6.61,2.19,0.00,18:34:40.758
3.88,6.71,2.19,0.00,18:34:40.858
3.82,6.81,2.19,0.00,18:34:40.958
3.96,6.91,2.19,0.00,18:34:41.058
3.85,7.01,2.19,0.00,18:34:41.158
3.80,7.11,2.19,0.00,18:34:41.258
3.89,7.21,2.19,0.00,18:34:41.358
3.88,7.31,2.19,0.00,18:34:41.458
3.95,7.41,2.19,0.00,18:34:41.558
3.80,7.51,2.19,0.00,18:34:41.658
3.90,7.61,2.19,0.00,18:34:41.758
3.80,7.71,2.19,0.00,18:34:41.858
3.88,7.81,2.19,0.00,18:34:41.958
3.83,7.91,2.19,0.00,18:34:42.059
3.89,8.01,2.19,0.00,18:34:42.158
3.79,8.11,2.19,0.00,18:34:42.258
3.87,8.21,2.19,0.00,18:34:42.359
3.78,8.31,2.19,0.00,18:34:42.458
3.90,8.41,2.19,0.00,18:34:42.558
3.79,8.51,2.19,0.00,18:34:42.658
3.86,8.61,2.19,0.00,18:34:42.758
3.87,8.71,2.19,0.00,18:34:42.858
3.89,8.81,2.19,0.00,18:34:42.959
3.83,8.91,2.19,0.00,18:34:43.058
3.91,9.01,2.19,0.00,18:34:43.158
3.86,9.11,2.19,0.00,18:34:43.258
3.92,9.21,2.19,0.00,18:34:43.358
3.78,9.31,2.19,0.00,18:34:43.458
3.88,9.41,2.19,0.00,18:34:43.558
3.92,9.51,2.19,0.00,18:34:43.658
3.81,9.61,2.19,0.00,18:34:43.758
3.87,9.71,2.19,0.00,18:34:43.858
3.78,9.81,2.19,0.00,18:34:43.958
3.88,9.91,2.19,0.00,18:34:44.058
3.82,10.01,2.19,0.00,18:34:44.158
3.78,10.12,2.19,0.00,18:34:44.258
3.86,10.22,2.19,0.00,18:34:44.358
3.81,10.32,2.19,0.00,18:34:44.458
3.86,10.42,2.19,0.00,18:34:44.558
3.80,10.52,2.19,0.00,18:34:44.658
3.88,10.62,2.19,0.00,18:34:44.758
3.80,10.71,2.19,0.00,18:34:44.858
3.93,10.82,2.19,0.00,18:34:44.958
3.92,10.92,2.19,0.00,18:34:45.058
3.86,11.02,2.19,0.00,18:34:45.158
3.93,11.12,2.19,0.00,18:34:45.258
3.83,11.22,2.19,0.00,18:34:45.358
3.81,11.32,2.19,0.00,18:34:45.458
3.91,11.42,2.19,0.00,18:34:45.558
3.81,11.52,2.19,0.00,18:34:45.658
3.91,11.62,2.19,0.00,18:34:45.758
3.88,11.72,2.19,0.00,18:34:45.858
3.89,11.82,2.19,0.00,18:34:45.958
3.88,11.92,2.19,0.00,18:34:46.059
3.84,12.02,2.19,0.00,18:34:46.158
