Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.56,0.30,2.19,0.00,18:41:39.958
4.04,0.40,2.19,0.00,18:41:40.058
4.07,0.50,2.19,0.00,18:41:40.158
3.95,0.60,2.19,0.00,18:41:40.258
4.00,0.70,2.19,0.00,18:41:40.358
3.88,0.80,2.19,0.00,18:41:40.459
3.94,0.90,2.19,0.00,18:41:40.558
3.87,1.00,2.19,0.00,18:41:40.658
3.98,1.10,2.19,0.00,18:41:40.758
3.87,1.20,2.19,0.00,18:41:40.858
3.89,1.30,2.19,0.00,18:41:40.959
3.81,1.40,2.19,0.00,18:41:41.058
3.86,1.50,2.19,0.00,18:41:41.159
3.78,1.60,2.19,0.00,18:41:41.258
3.87,1.70,2.19,0.00,18:41:41.359
3.84,1.80,2.19,0.00,18:41:41.458
3.80,1.90,2.19,0.00,18:41:41.558
3.92,2.00,2.19,0.00,18:41:41.658
3.89,2.10,2.19,0.00,18:41:41.759
3.81,2.10,2.19,0.00,18:41:41.858
3.90,2.20,2.19,0.00,18:41:41.958
3.78,2.31,2.19,0.00,18:41:42.059
3.78,2.41,2.19,0.00,18:41:42.158
3.81,2.51,2.19,0.00,18:41:42.258
3.86,2.61,2.19,0.00,18:41:42.358
3.70,2.71,2.19,0.00,18:41:42.458
3.97,2.81,2.19,0.00,18:41:42.559
3.80,2.91,2.19,0.00,18:41:42.658
3.88,3.01,2.19,0.00,18:41:42.759
3.80,3.11,2.19,0.00,18:41:42.858
3.87,3.21,2.19,0.00,18:41:42.959
3.79,3.31,2.19,0.00,18:41:43.059
3.93,3.41,2.19,0.00,18:41:43.158
3.80,3.51,2.19,0.00,18:41:43.258
3.91,3.61,2.19,0.00,18:41:43.359
3.78,3.71,2.19,0.00,18:41:43.459
3.76,3.81,2.19,0.00,18:41:43.558
3.89,3.91,2.19,0.00,18:41:43.659
3.83,4.01,2.19,0.00,18:41:43.759
3.79,4.11,2.19,0.00,18:41:43.858
3.85,4.21,2.19,0.00,18:41:43.959
3.89,4.31,2.19,0.00,18:41:44.058
3.79,4.41,2.19,0.00,18:41:44.158
3.85,4.51,2.19,0.00,18:41:44.259
3.77,4.61,2.19,0.00,18:41:44.358
3.83,4.71,2.19,0.00,18:41:44.458
3.93,4.81,2.19,0.00,18:41:44.558
3.82,4.91,2.19,0.00,18:41:44.658
3.89,5.01,2.19,0.00,18:41:44.758
