Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.59,0.30,2.19,0.00,18:36:25.958
3.92,0.40,2.19,0.00,18:36:26.058
4.02,0.50,2.19,0.00,18:36:26.158
3.90,0.60,2.19,0.00,18:36:26.258
3.98,0.70,2.19,0.00,18:36:26.358
3.82,0.80,2.19,0.00,18:36:26.459
3.97,0.90,2.19,0.00,18:36:26.558
3.83,1.00,2.19,0.00,18:36:26.658
3.87,1.10,2.19,0.00,18:36:26.758
3.93,1.20,2.19,0.00,18:36:26.858
3.83,1.30,2.19,0.00,18:36:26.958
3.85,1.40,2.19,0.00,18:36:27.058
3.92,1.50,2.19,0.00,18:36:27.158
3.79,1.60,2.19,0.00,18:36:27.258
3.89,1.70,2.19,0.00,18:36:27.358
3.78,1.80,2.19,0.00,18:36:27.458
3.90,1.90,2.19,0.00,18:36:27.558
3.78,2.00,2.19,0.00,18:36:27.658
3.81,2.11,2.19,0.00,18:36:27.758
3.88,2.21,2.19,0.00,18:36:27.859
3.79,2.31,2.19,0.00,18:36:27.959
3.89,2.41,2.19,0.00,18:36:28.058
3.80,2.51,2.19,0.00,18:36:28.158
3.93,2.61,2.19,0.00,18:36:28.258
3.82,2.71,2.19,0.00,18:36:28.358
3.89,2.81,2.19,0.00,18:36:28.459
3.80,2.91,2.19,0.00,18:36:28.558
3.77,3.01,2.19,0.00,18:36:28.658
3.85,3.11,2.19,0.00,18:36:28.758
3.78,3.21,2.19,0.00,18:36:28.858
3.89,3.31,2.19,0.00,18:36:28.959
3.89,3.41,2.19,0.00,18:36:29.058
3.87,3.51,2.19,0.00,18:36:29.158
3.79,3.61,2.19,0.00,18:36:29.258
3.93,3.71,2.19,0.00,18:36:29.359
3.82,3.81,2.19,0.00,18:36:29.458
3.90,3.91,2.19,0.00,18:36:29.558
3.80,4.01,2.19,0.00,18:36:29.659
3.83,4.11,2.19,0.00,18:36:29.758
3.87,4.21,2.19,0.00,18:36:29.858
3.83,4.31,2.19,0.00,18:36:29.958
3.86,4.41,2.19,0.00,18:36:30.058
3.77,4.51,2.19,0.00,18:36:30.158
3.87,4.61,2.19,0.00,18:36:30.258
3.85,4.71,2.19,0.00,18:36:30.358
3.90,4.81,2.19,0.00,18:36:30.459
3.84,4.91,2.19,0.00,18:36:30.558
3.80,5.01,2.19,0.00,18:36:30.658
3.87,5.11,2.19,0.00,18:36:30.758
3.82,5.21,2.19,0.00,18:36:30.858
3.79,5.31,2.19,0.00,18:36:30.958
3.88,5.41,2.19,0.00,18:36:31.058
3.82,5.51,2.19,0.00,18:36:31.158
3.92,5.61,2.19,0.00,18:36:31.258
3.85,5.71,2.19,0.00,18:36:31.358
3.92,5.81,2.19,0.00,18:36:31.458
3.80,5.91,2.19,0.00,18:36:31.558
