Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
2.86,0.30,2.19,0.00,18:31:28.477
2.96,0.40,2.19,0.00,18:31:28.576
3.04,0.50,2.19,0.00,18:31:28.677
2.91,0.60,2.19,0.00,18:31:28.776
2.97,0.70,2.19,0.00,18:31:28.876
2.90,0.80,2.19,0.00,18:31:28.976
2.94,0.90,2.19,0.00,18:31:29.076
2.89,1.00,2.19,0.00,18:31:29.176
2.97,1.10,2.19,0.00,18:31:29.277
2.85,1.20,2.19,0.00,18:31:29.377
2.94,1.30,2.19,0.00,18:31:29.476
2.87,1.40,2.19,0.00,18:31:29.577
3.00,1.50,2.19,0.00,18:31:29.676
2.97,1.60,2.19,0.00,18:31:29.777
2.98,1.70,2.19,0.00,18:31:29.876
2.95,1.80,2.19,0.00,18:31:29.976
2.87,1.90,2.19,0.00,18:31:30.077
2.99,2.00,2.19,0.00,18:31:30.176
2.92,2.10,2.19,0.00,18:31:30.276
2.91,2.20,2.19,0.00,18:31:30.376
2.86,2.30,2.19,0.00,18:31:30.477
2.81,2.40,2.19,0.00,18:31:30.576
2.80,2.50,2.19,0.00,18:31:30.676
2.93,2.60,2.19,0.00,18:31:30.776
2.83,2.70,2.19,0.00,18:31:30.877
2.80,2.80,2.19,0.00,18:31:30.976
2.89,2.90,2.19,0.00,18:31:31.076
2.92,3.00,2.19,0.00,18:31:31.176
2.81,3.10,2.19,0.00,18:31:31.277
2.81,3.20,2.19,0.00,18:31:31.377
2.91,3.30,2.19,0.00,18:31:31.476
2.87,3.40,2.19,0.00,18:31:31.576
2.83,3.50,2.19,0.00,18:31:31.676
2.89,3.60,2.19,0.00,18:31:31.777
2.89,3.70,2.19,0.00,18:31:31.876
2.89,3.80,2.19,0.00,18:31:31.976
2.82,3.90,2.19,0.00,18:31:32.077
2.84,4.00,2.19,0.00,18:31:32.176
2.93,4.10,2.19,0.00,18:31:32.276
2.97,4.20,2.19,0.00,18:31:32.376
2.87,4.30,2.19,0.00,18:31:32.477
2.93,4.40,2.19,0.00,18:31:32.576
2.84,4.50,2.19,0.00,18:31:32.677
2.82,4.60,2.19,0.00,18:31:32.776
2.81,4.70,2.19,0.00,18:31:32.876
2.94,4.80,2.19,0.00,18:31:32.977
2.82,4.90,2.19,0.00,18:31:33.076
2.84,5.00,2.19,0.00,18:31:33.176
2.82,5.10,2.19,0.00,18:31:33.276
2.91,5.20,2.19,0.00,18:31:33.377
2.84,5.30,2.19,0.00,18:31:33.476
2.88,5.40,2.19,0.00,18:31:33.576
2.88,5.50,2.19,0.00,18:31:33.676
2.94,5.60,2.19,0.00,18:31:33.777
2.96,5.70,2.19,0.00,18:31:33.876
2.92,5.80,2.19,0.00,18:31:33.977
2.86,5.90,2.19,0.00,18:31:34.077
2.98,6.00,2.19,0.00,18:31:34.176
