Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
2.23,0.30,2.19,0.00,16:30:14.176
2.42,0.40,2.19,0.00,16:30:14.276
2.56,0.50,2.19,0.00,16:30:14.376
2.61,0.60,2.19,0.00,16:30:14.477
2.58,0.70,2.19,0.00,16:30:14.576
2.72,0.80,2.19,0.00,16:30:14.677
2.77,0.90,2.19,0.00,16:30:14.776
2.77,1.00,2.19,0.00,16:30:14.877
2.89,1.10,2.19,0.00,16:30:14.976
2.89,1.20,2.19,0.00,16:30:15.076
2.85,1.30,2.19,0.00,16:30:15.176
2.82,1.40,2.19,0.00,16:30:15.276
2.86,1.50,2.19,0.00,16:30:15.377
2.82,1.60,2.19,0.00,16:30:15.476
2.87,1.70,2.19,0.00,16:30:15.576
2.79,1.80,2.19,0.00,16:30:15.676
2.87,1.90,2.19,0.00,16:30:15.776
2.87,2.00,2.19,0.00,16:30:15.876
2.95,2.10,2.19,0.00,16:30:15.977
2.87,2.20,2.19,0.00,16:30:16.078
2.84,2.30,2.19,0.00,16:30:16.176
2.87,2.40,2.19,0.00,16:30:16.276
2.98,2.50,2.19,0.00,16:30:16.376
2.90,2.60,2.19,0.00,16:30:16.477
2.99,2.70,2.19,0.00,16:30:16.576
2.88,2.80,2.19,0.00,16:30:16.677
2.98,2.90,2.19,0.00,16:30:16.776
2.89,3.00,2.19,0.00,16:30:16.877
2.99,3.10,2.19,0.00,16:30:16.976
2.99,3.20,2.19,0.00,16:30:17.076
2.89,3.30,2.19,0.00,16:30:17.176
2.98,3.40,2.19,0.00,16:30:17.276
2.92,3.50,2.19,0.00,16:30:17.377
2.96,3.60,2.19,0.00,16:30:17.476
2.87,3.70,2.19,0.00,16:30:17.576
2.86,3.80,2.19,0.00,16:30:17.676
2.97,3.90,2.19,0.00,16:30:17.778
2.95,4.00,2.19,0.00,16:30:17.876
2.88,4.10,2.19,0.00,16:30:17.976
2.89,4.20,2.19,0.00,16:30:18.076
2.97,4.30,2.19,0.00,16:30:18.177
2.99,4.40,2.19,0.00,16:30:18.276
2.87,4.50,2.19,0.00,16:30:18.377
2.86,4.60,2.19,0.00,16:30:18.477
2.88,4.70,2.19,0.00,16:30:18.576
3.13,4.80,2.19,0.00,16:30:18.676
3.28,4.91,2.19,0.00,16:30:18.776
3.37,5.01,2.19,0.00,16:30:18.877
2.97,5.11,2.19,0.00,16:30:18.976
2.70,5.21,2.19,0.00,16:30:19.076
2.61,5.31,2.19,0.00,16:30:19.176
2.75,5.41,2.19,0.00,16:30:19.277
2.67,5.50,2.19,0.00,16:30:19.376
2.81,5.61,2.19,0.00,16:30:19.476
2.76,5.71,2.19,0.00,16:30:19.576
2.82,5.81,2.19,0.00,16:30:19.677
2.82,5.91,2.19,0.00,16:30:19.776
2.89,6.01,2.19,0.00,16:30:19.876
2.90,6.11,2.19,0.00,16:30:19.976
2.82,6.21,2.19,0.00,16:30:20.077
2.82,6.31,2.19,0.00,16:30:20.176
2.80,6.41,2.19,0.00,16:30:20.276
2.93,6.51,2.19,0.00,16:30:20.376
2.82,6.61,2.19,0.00,16:30:20.476
2.89,6.71,2.19,0.00,16:30:20.576
2.82,6.81,2.19,0.00,16:30:20.677
2.92,6.91,2.19,0.00,16:30:20.776
2.80,7.01,2.19,0.00,16:30:20.876
2.90,7.11,2.19,0.00,16:30:20.977
2.82,7.21,2.19,0.00,16:30:21.076
2.87,7.31,2.19,0.00,16:30:21.176
2.81,7.41,2.19,0.00,16:30:21.276
2.90,7.51,2.19,0.00,16:30:21.377
2.82,7.61,2.19,0.00,16:30:21.476
2.91,7.71,2.19,0.00,16:30:21.576
2.82,7.81,2.19,0.00,16:30:21.676
2.92,7.91,2.19,0.00,16:30:21.777
2.83,8.01,2.19,0.00,16:30:21.876
2.94,8.11,2.19,0.00,16:30:21.976
2.89,8.21,2.19,0.00,16:30:22.076
2.89,8.31,2.19,0.00,16:30:22.176
2.90,8.41,2.19,0.00,16:30:22.276
2.82,8.51,2.19,0.00,16:30:22.376
2.78,8.61,2.19,0.00,16:30:22.477
2.82,8.71,2.19,0.00,16:30:22.576
2.89,8.81,2.19,0.00,16:30:22.676
2.79,8.91,2.19,0.00,16:30:22.776
2.81,9.01,2.19,0.00,16:30:22.876
2.80,9.11,2.19,0.00,16:30:22.976
2.72,9.21,2.19,0.00,16:30:23.076
2.81,9.31,2.19,0.00,16:30:23.176
2.84,9.41,2.19,0.00,16:30:23.276
2.84,9.51,2.19,0.00,16:30:23.377
2.91,9.61,2.19,0.00,16:30:23.477
2.81,9.71,2.19,0.00,16:30:23.576
2.82,9.81,2.19,0.00,16:30:23.677
2.84,9.91,2.19,0.00,16:30:23.776
2.95,10.01,2.19,0.00,16:30:23.876
2.86,10.11,2.19,0.00,16:30:23.976
2.92,10.21,2.19,0.00,16:30:24.077
2.84,10.31,2.19,0.00,16:30:24.176
