Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
2.72,0.30,2.19,0.00,19:04:40.776
3.08,0.40,2.19,0.00,19:04:40.877
3.09,0.50,2.19,0.00,19:04:40.976
3.04,0.60,2.19,0.00,19:04:41.077
3.00,0.70,2.19,0.00,19:04:41.177
2.99,0.80,2.19,0.00,19:04:41.276
2.92,0.90,2.19,0.00,19:04:41.376
2.94,1.00,2.19,0.00,19:04:41.476
2.92,1.10,2.19,0.00,19:04:41.577
2.87,1.20,2.19,0.00,19:04:41.676
2.84,1.30,2.19,0.00,19:04:41.777
2.86,1.40,2.19,0.00,19:04:41.877
2.95,1.50,2.19,0.00,19:04:41.976
2.87,1.60,2.19,0.00,19:04:42.077
2.96,1.70,2.19,0.00,19:04:42.176
2.84,1.80,2.19,0.00,19:04:42.276
2.81,1.90,2.19,0.00,19:04:42.376
2.89,2.00,2.19,0.00,19:04:42.476
2.89,2.11,2.19,0.00,19:04:42.576
2.83,2.21,2.19,0.00,19:04:42.676
2.80,2.31,2.19,0.00,19:04:42.776
2.87,2.41,2.19,0.00,19:04:42.876
2.86,2.51,2.19,0.00,19:04:42.977
2.87,2.61,2.19,0.00,19:04:43.076
2.81,2.71,2.19,0.00,19:04:43.176
2.86,2.81,2.19,0.00,19:04:43.276
2.84,2.91,2.19,0.00,19:04:43.376
2.86,3.01,2.19,0.00,19:04:43.476
2.80,3.11,2.19,0.00,19:04:43.576
2.87,3.21,2.19,0.00,19:04:43.676
2.81,3.31,2.19,0.00,19:04:43.776
2.89,3.41,2.19,0.00,19:04:43.876
2.82,3.51,2.19,0.00,19:04:43.977
2.95,3.61,2.19,0.00,19:04:44.076
2.82,3.71,2.19,0.00,19:04:44.176
2.89,3.81,2.19,0.00,19:04:44.276
2.87,3.91,2.19,0.00,19:04:44.376
2.91,4.01,2.19,0.00,19:04:44.476
2.79,4.11,2.19,0.00,19:04:44.576
2.89,4.21,2.19,0.00,19:04:44.676
2.80,4.31,2.19,0.00,19:04:44.776
2.81,4.41,2.19,0.00,19:04:44.876
2.93,4.51,2.19,0.00,19:04:44.976
2.84,4.61,2.19,0.00,19:04:45.076
2.95,4.71,2.19,0.00,19:04:45.176
2.87,4.81,2.19,0.00,19:04:45.276
2.93,4.91,2.19,0.00,19:04:45.376
2.84,5.01,2.19,0.00,19:04:45.476
2.90,5.11,2.19,0.00,19:04:45.576
2.80,5.21,2.19,0.00,19:04:45.676
2.92,5.31,2.19,0.00,19:04:45.776
2.83,5.41,2.19,0.00,19:04:45.876
