Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
2.93,0.30,2.19,0.00,16:32:07.576
3.24,0.40,2.19,0.00,16:32:07.677
3.32,0.50,2.19,0.00,16:32:07.776
3.34,0.60,2.19,0.00,16:32:07.877
3.35,0.70,2.19,0.00,16:32:07.976
3.31,0.80,2.19,0.00,16:32:08.076
3.31,0.90,2.19,0.00,16:32:08.176
3.16,1.00,2.19,0.00,16:32:08.277
3.11,1.10,2.19,0.00,16:32:08.376
3.04,1.20,2.19,0.00,16:32:08.477
2.99,1.30,2.19,0.00,16:32:08.577
2.90,1.40,2.19,0.00,16:32:08.676
2.94,1.50,2.19,0.00,16:32:08.777
2.94,1.60,2.19,0.00,16:32:08.876
2.89,1.70,2.19,0.00,16:32:08.976
2.90,1.80,2.19,0.00,16:32:09.076
2.87,1.90,2.19,0.00,16:32:09.177
2.83,2.00,2.19,0.00,16:32:09.276
2.86,2.10,2.19,0.00,16:32:09.376
2.83,2.20,2.19,0.00,16:32:09.477
2.86,2.30,2.19,0.00,16:32:09.576
2.84,2.40,2.19,0.00,16:32:09.676
2.84,2.50,2.19,0.00,16:32:09.776
2.83,2.60,2.19,0.00,16:32:09.877
2.88,2.70,2.19,0.00,16:32:09.977
2.84,2.80,2.19,0.00,16:32:10.076
2.86,2.90,2.19,0.00,16:32:10.176
2.84,3.00,2.19,0.00,16:32:10.276
2.88,3.10,2.19,0.00,16:32:10.376
2.82,3.20,2.19,0.00,16:32:10.476
2.87,3.30,2.19,0.00,16:32:10.576
2.81,3.40,2.19,0.00,16:32:10.677
2.90,3.50,2.19,0.00,16:32:10.776
2.86,3.60,2.19,0.00,16:32:10.876
2.86,3.70,2.19,0.00,16:32:10.976
2.82,3.80,2.19,0.00,16:32:11.076
2.78,3.90,2.19,0.00,16:32:11.176
2.83,4.00,2.19,0.00,16:32:11.276
2.89,4.10,2.19,0.00,16:32:11.377
2.81,4.20,2.19,0.00,16:32:11.476
2.82,4.30,2.19,0.00,16:32:11.576
2.83,4.40,2.19,0.00,16:32:11.676
2.86,4.50,2.19,0.00,16:32:11.777
2.82,4.60,2.19,0.00,16:32:11.876
2.86,4.70,2.19,0.00,16:32:11.976
2.81,4.80,2.19,0.00,16:32:12.076
2.87,4.90,2.19,0.00,16:32:12.177
2.81,5.00,2.19,0.00,16:32:12.276
2.86,5.10,2.19,0.00,16:32:12.376
2.82,5.20,2.19,0.00,16:32:12.476
2.89,5.30,2.19,0.00,16:32:12.576
2.84,5.40,2.19,0.00,16:32:12.677
2.81,5.50,2.19,0.00,16:32:12.776
2.84,5.60,2.19,0.00,16:32:12.876
2.86,5.70,2.19,0.00,16:32:12.976
2.81,5.80,2.19,0.00,16:32:13.076
2.90,5.90,2.19,0.00,16:32:13.177
2.87,6.00,2.19,0.00,16:32:13.276
2.86,6.10,2.19,0.00,16:32:13.376
2.82,6.20,2.19,0.00,16:32:13.477
2.81,6.30,2.19,0.00,16:32:13.576
2.82,6.40,2.19,0.00,16:32:13.676
2.90,6.50,2.19,0.00,16:32:13.777
2.82,6.60,2.19,0.00,16:32:13.876
2.90,6.70,2.19,0.00,16:32:13.976
2.82,6.80,2.19,0.00,16:32:14.076
2.75,6.90,2.19,0.00,16:32:14.176
2.79,7.00,2.19,0.00,16:32:14.276
2.91,7.10,2.19,0.00,16:32:14.376
2.80,7.20,2.19,0.00,16:32:14.476
2.83,7.30,2.19,0.00,16:32:14.576
2.84,7.40,2.19,0.00,16:32:14.677
2.87,7.50,2.19,0.00,16:32:14.776
