Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
3.11,0.30,2.19,0.00,19:01:58.777
3.41,0.40,2.19,0.00,19:01:58.877
3.44,0.50,2.19,0.00,19:01:58.976
3.52,0.60,2.19,0.00,19:01:59.076
3.44,0.70,2.19,0.00,19:01:59.176
3.38,0.80,2.19,0.00,19:01:59.277
3.28,0.90,2.19,0.00,19:01:59.376
3.16,1.00,2.19,0.00,19:01:59.476
3.15,1.10,2.19,0.00,19:01:59.576
3.06,1.20,2.19,0.00,19:01:59.676
2.98,1.30,2.19,0.00,19:01:59.776
2.91,1.40,2.19,0.00,19:01:59.876
2.96,1.50,2.19,0.00,19:01:59.977
2.90,1.60,2.19,0.00,19:02:00.077
2.92,1.70,2.19,0.00,19:02:00.177
2.92,1.80,2.19,0.00,19:02:00.276
2.89,1.90,2.19,0.00,19:02:00.377
2.82,2.00,2.19,0.00,19:02:00.476
2.89,2.10,2.19,0.00,19:02:00.576
2.89,2.20,2.19,0.00,19:02:00.676
2.79,2.30,2.19,0.00,19:02:00.776
2.89,2.40,2.19,0.00,19:02:00.877
2.82,2.50,2.19,0.00,19:02:00.976
2.86,2.60,2.19,0.00,19:02:01.076
2.79,2.70,2.19,0.00,19:02:01.178
2.86,2.80,2.19,0.00,19:02:01.276
2.82,2.90,2.19,0.00,19:02:01.376
2.83,3.00,2.19,0.00,19:02:01.476
2.84,3.10,2.19,0.00,19:02:01.578
2.91,3.20,2.19,0.00,19:02:01.676
2.83,3.30,2.19,0.00,19:02:01.776
2.82,3.40,2.19,0.00,19:02:01.876
2.86,3.50,2.19,0.00,19:02:01.976
2.80,3.60,2.19,0.00,19:02:02.076
2.96,3.70,2.19,0.00,19:02:02.176
2.79,3.80,2.19,0.00,19:02:02.276
2.81,3.90,2.19,0.00,19:02:02.376
2.82,4.00,2.19,0.00,19:02:02.476
2.83,4.10,2.19,0.00,19:02:02.577
2.83,4.20,2.19,0.00,19:02:02.677
2.82,4.31,2.19,0.00,19:02:02.776
2.86,4.40,2.19,0.00,19:02:02.877
2.89,4.51,2.19,0.00,19:02:02.977
2.83,4.61,2.19,0.00,19:02:03.076
2.87,4.71,2.19,0.00,19:02:03.177
2.84,4.81,2.19,0.00,19:02:03.276
2.82,4.91,2.19,0.00,19:02:03.376
2.82,5.01,2.19,0.00,19:02:03.476
2.89,5.11,2.19,0.00,19:02:03.577
2.81,5.21,2.19,0.00,19:02:03.676
2.85,5.31,2.19,0.00,19:02:03.776
2.82,5.41,2.19,0.00,19:02:03.876
2.88,5.51,2.19,0.00,19:02:03.976
2.91,5.61,2.19,0.00,19:02:04.076
2.82,5.71,2.19,0.00,19:02:04.176
2.89,5.81,2.19,0.00,19:02:04.277
2.83,5.91,2.19,0.00,19:02:04.376
2.84,6.01,2.19,0.00,19:02:04.476
2.92,6.11,2.19,0.00,19:02:04.576
2.79,6.21,2.19,0.00,19:02:04.676
2.87,6.31,2.19,0.00,19:02:04.776
2.87,6.41,2.19,0.00,19:02:04.876
2.51,6.51,2.19,0.00,19:02:04.976
2.51,6.61,2.19,0.00,19:02:05.077
2.56,6.71,2.19,0.00,19:02:05.176
2.72,6.81,2.19,0.00,19:02:05.276
2.76,6.91,2.19,0.00,19:02:05.376
2.72,7.01,2.19,0.00,19:02:05.476
2.81,7.11,2.19,0.00,19:02:05.576
2.81,7.21,2.19,0.00,19:02:05.676
2.87,7.31,2.19,0.00,19:02:05.777
2.88,7.41,2.19,0.00,19:02:05.877
2.79,7.51,2.19,0.00,19:02:05.976
2.92,7.61,2.19,0.00,19:02:06.078
2.86,7.71,2.19,0.00,19:02:06.176
2.81,7.81,2.19,0.00,19:02:06.277
2.89,7.91,2.19,0.00,19:02:06.377
2.79,8.01,2.19,0.00,19:02:06.477
2.89,8.11,2.19,0.00,19:02:06.577
2.87,8.21,2.19,0.00,19:02:06.676
