Pressure 1 (kg/cm2),Time 1 (sec),Pressure 2 (kg/cm2),Time 2 (sec),Time_Stamp
0.85,13.42,2.19,0.00,19:05:57.576
0.91,13.52,2.19,0.00,19:05:57.677
0.91,13.62,2.19,0.00,19:05:57.776
0.99,13.72,2.19,0.00,19:05:57.876
0.91,13.82,2.19,0.00,19:05:57.976
0.93,13.92,2.19,0.00,19:05:58.076
0.91,14.02,2.19,0.00,19:05:58.176
0.96,14.12,2.19,0.00,19:05:58.276
0.91,14.22,2.19,0.00,19:05:58.376
0.95,14.32,2.19,0.00,19:05:58.476
0.87,14.42,2.19,0.00,19:05:58.576
0.98,14.52,2.19,0.00,19:05:58.676
0.93,14.62,2.19,0.00,19:05:58.776
0.99,14.72,2.19,0.00,19:05:58.876
0.90,14.82,2.19,0.00,19:05:58.976
0.98,14.92,2.19,0.00,19:05:59.076
0.91,15.02,2.19,0.00,19:05:59.176
0.98,15.12,2.19,0.00,19:05:59.276
0.88,15.22,2.19,0.00,19:05:59.377
0.96,15.32,2.19,0.00,19:05:59.476
0.91,15.42,2.19,0.00,19:05:59.577
0.98,15.52,2.19,0.00,19:05:59.677
0.91,15.62,2.19,0.00,19:05:59.776
0.98,15.72,2.19,0.00,19:05:59.876
0.94,15.82,2.19,0.00,19:05:59.976
0.98,15.92,2.19,0.00,19:06:00.076
0.91,16.02,2.19,0.00,19:06:00.176
1.01,16.12,2.19,0.00,19:06:00.276
0.93,16.22,2.19,0.00,19:06:00.376
0.99,16.32,2.19,0.00,19:06:00.476
0.92,16.42,2.19,0.00,19:06:00.576
0.96,16.52,2.19,0.00,19:06:00.676
0.96,16.62,2.19,0.00,19:06:00.777
0.96,16.72,2.19,0.00,19:06:00.876
0.91,16.82,2.19,0.00,19:06:00.976
1.00,16.92,2.19,0.00,19:06:01.076
0.96,17.02,2.19,0.00,19:06:01.176
0.96,17.12,2.19,0.00,19:06:01.276
0.93,17.22,2.19,0.00,19:06:01.376
0.94,17.32,2.19,0.00,19:06:01.476
0.94,17.42,2.19,0.00,19:06:01.576
0.85,17.52,2.19,0.00,19:06:01.676
0.96,17.62,2.19,0.00,19:06:01.776
0.98,17.72,2.19,0.00,19:06:01.876
0.95,17.82,2.19,0.00,19:06:01.977
1.01,17.92,2.19,0.00,19:06:02.076
1.02,18.02,2.19,0.00,19:06:02.176
0.93,18.12,2.19,0.00,19:06:02.276
0.98,18.22,2.19,0.00,19:06:02.376
0.97,18.32,2.19,0.00,19:06:02.476
0.96,18.42,2.19,0.00,19:06:02.576
0.91,18.52,2.19,0.00,19:06:02.676
0.94,18.62,2.19,0.00,19:06:02.776
0.86,18.72,2.19,0.00,19:06:02.876
0.93,18.82,2.19,0.00,19:06:02.976
1.01,18.92,2.19,0.00,19:06:03.076
0.91,19.02,2.19,0.00,19:06:03.176
0.94,19.12,2.19,0.00,19:06:03.276
0.99,19.22,2.19,0.00,19:06:03.376
0.91,19.32,2.19,0.00,19:06:03.476
0.94,19.42,2.19,0.00,19:06:03.576
0.94,19.52,2.19,0.00,19:06:03.676
0.96,19.62,2.19,0.00,19:06:03.776
0.92,19.72,2.19,0.00,19:06:03.876
0.93,19.82,2.19,0.00,19:06:03.976
0.98,19.92,2.19,0.00,19:06:04.076
1.01,20.02,2.19,0.00,19:06:04.176
1.01,20.12,2.19,0.00,19:06:04.276
0.95,20.22,2.19,0.00,19:06:04.376
0.84,20.32,2.19,0.00,19:06:04.476
0.94,20.42,2.19,0.00,19:06:04.577
0.81,20.52,2.19,0.00,19:06:04.676
0.94,20.62,2.19,0.00,19:06:04.777
0.94,20.72,2.19,0.00,19:06:04.876
1.00,20.82,2.19,0.00,19:06:04.976
1.01,20.92,2.19,0.00,19:06:05.076
0.99,21.02,2.19,0.00,19:06:05.176
0.80,21.12,2.19,0.00,19:06:05.276
1.01,21.22,2.19,0.00,19:06:05.376
0.91,21.32,2.19,0.00,19:06:05.476
1.04,21.42,2.19,0.00,19:06:05.576
0.91,21.52,2.19,0.00,19:06:05.676
0.98,21.62,2.19,0.00,19:06:05.776
0.87,21.72,2.19,0.00,19:06:05.877
0.98,21.82,2.19,0.00,19:06:05.976
1.01,21.92,2.19,0.00,19:06:06.077
0.89,22.02,2.19,0.00,19:06:06.176
0.98,22.12,2.19,0.00,19:06:06.276
0.90,22.22,2.19,0.00,19:06:06.377
1.01,22.32,2.19,0.00,19:06:06.476
0.93,22.42,2.19,0.00,19:06:06.576
1.03,22.52,2.19,0.00,19:06:06.676
0.98,22.62,2.19,0.00,19:06:06.776
0.88,22.72,2.19,0.00,19:06:06.878
0.96,22.82,2.19,0.00,19:06:06.976
0.84,22.92,2.19,0.00,19:06:07.076
0.91,23.02,2.19,0.00,19:06:07.176
0.96,23.12,2.19,0.00,19:06:07.276
0.92,23.22,2.19,0.00,19:06:07.376
0.96,23.32,2.19,0.00,19:06:07.476
0.86,23.42,2.19,0.00,19:06:07.576
0.91,23.52,2.19,0.00,19:06:07.677
0.91,23.62,2.19,0.00,19:06:07.776
0.89,23.72,2.19,0.00,19:06:07.876
1.02,23.82,2.19,0.00,19:06:07.976
0.92,23.93,2.19,0.00,19:06:08.076
0.93,24.03,2.19,0.00,19:06:08.176
0.94,24.13,2.19,0.00,19:06:08.277
0.89,24.23,2.19,0.00,19:06:08.377
0.94,24.33,2.19,0.00,19:06:08.476
0.97,24.43,2.19,0.00,19:06:08.576
0.91,24.53,2.19,0.00,19:06:08.677
1.00,24.63,2.19,0.00,19:06:08.776
1.03,24.73,2.19,0.00,19:06:08.876
0.95,24.83,2.19,0.00,19:06:08.976
0.99,24.93,2.19,0.00,19:06:09.076
0.91,25.03,2.19,0.00,19:06:09.177
0.96,25.13,2.19,0.00,19:06:09.276
0.88,25.23,2.19,0.00,19:06:09.376
0.92,25.33,2.19,0.00,19:06:09.476
0.88,25.43,2.19,0.00,19:06:09.577
0.84,25.53,2.19,0.00,19:06:09.676
0.92,25.63,2.19,0.00,19:06:09.777
0.90,25.73,2.19,0.00,19:06:09.876
0.91,25.83,2.19,0.00,19:06:09.977
0.96,25.93,2.19,0.00,19:06:10.076
1.01,26.03,2.19,0.00,19:06:10.177
0.93,26.13,2.19,0.00,19:06:10.276
0.98,26.23,2.19,0.00,19:06:10.376
0.95,26.33,2.19,0.00,19:06:10.476
0.97,26.43,2.19,0.00,19:06:10.576
0.94,26.53,2.19,0.00,19:06:10.677
0.89,26.63,2.19,0.00,19:06:10.776
0.87,26.73,2.19,0.00,19:06:10.876
1.01,26.83,2.19,0.00,19:06:10.977
0.98,26.93,2.19,0.00,19:06:11.077
0.92,27.03,2.19,0.00,19:06:11.177
0.94,27.13,2.19,0.00,19:06:11.276
0.96,27.23,2.19,0.00,19:06:11.376
0.96,27.33,2.19,0.00,19:06:11.476
0.98,27.43,2.19,0.00,19:06:11.577
0.94,27.53,2.19,0.00,19:06:11.676
0.99,27.63,2.19,0.00,19:06:11.777
0.93,27.73,2.19,0.00,19:06:11.876
0.93,27.83,2.19,0.00,19:06:11.976
0.97,27.93,2.19,0.00,19:06:12.076
0.91,28.03,2.19,0.00,19:06:12.176
0.99,28.13,2.19,0.00,19:06:12.276
0.91,28.23,2.19,0.00,19:06:12.376
0.99,28.33,2.19,0.00,19:06:12.476
0.89,28.43,2.19,0.00,19:06:12.576
0.91,28.53,2.19,0.00,19:06:12.676
0.96,28.63,2.19,0.00,19:06:12.777
0.84,28.73,2.19,0.00,19:06:12.876
0.95,28.83,2.19,0.00,19:06:12.976
0.91,28.93,2.19,0.00,19:06:13.077
1.03,29.03,2.19,0.00,19:06:13.177
0.93,29.13,2.19,0.00,19:06:13.277
0.92,29.23,2.19,0.00,19:06:13.376
0.99,29.33,2.19,0.00,19:06:13.477
0.87,29.43,2.19,0.00,19:06:13.576
0.96,29.54,2.19,0.00,19:06:13.677
0.93,29.63,2.19,0.00,19:06:13.776
0.95,29.74,2.19,0.00,19:06:13.877
0.91,29.84,2.19,0.00,19:06:13.977
0.90,29.94,2.19,0.00,19:06:14.076
1.03,30.04,2.19,0.00,19:06:14.176
1.02,30.14,2.19,0.00,19:06:14.276
0.95,30.24,2.19,0.00,19:06:14.376
0.85,30.34,2.19,0.00,19:06:14.476
0.93,30.44,2.19,0.00,19:06:14.577
0.96,30.54,2.19,0.00,19:06:14.676
0.86,30.64,2.19,0.00,19:06:14.776
0.98,30.74,2.19,0.00,19:06:14.876
0.89,30.84,2.19,0.00,19:06:14.976
0.97,30.94,2.19,0.00,19:06:15.076
0.85,31.04,2.19,0.00,19:06:15.177
0.92,31.14,2.19,0.00,19:06:15.277
0.87,31.24,2.19,0.00,19:06:15.376
0.98,31.34,2.19,0.00,19:06:15.476
0.89,31.44,2.19,0.00,19:06:15.576
1.01,31.54,2.19,0.00,19:06:15.676
0.86,31.64,2.19,0.00,19:06:15.776
0.98,31.74,2.19,0.00,19:06:15.877
0.94,31.84,2.19,0.00,19:06:15.976
0.86,31.94,2.19,0.00,19:06:16.076
1.03,32.04,2.19,0.00,19:06:16.176
0.99,32.14,2.19,0.00,19:06:16.276
0.99,32.24,2.19,0.00,19:06:16.376
0.92,32.34,2.19,0.00,19:06:16.476
0.96,32.44,2.19,0.00,19:06:16.576
0.99,32.54,2.19,0.00,19:06:16.676
1.03,32.64,2.19,0.00,19:06:16.776
0.93,32.74,2.19,0.00,19:06:16.876
0.93,32.84,2.19,0.00,19:06:16.976
0.95,32.94,2.19,0.00,19:06:17.076
0.90,33.04,2.19,0.00,19:06:17.176
0.97,33.14,2.19,0.00,19:06:17.276
0.87,33.24,2.19,0.00,19:06:17.376
0.98,33.34,2.19,0.00,19:06:17.477
1.01,33.44,2.19,0.00,19:06:17.576
0.89,33.54,2.19,0.00,19:06:17.676
0.89,0.00,2.19,0.00,19:06:17.776
